PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapitalCost,BAU,Ecuador,area_restaurada,,,,2018,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2019,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2020,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2021,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2022,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2023,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2024,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2025,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2026,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2027,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2028,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2029,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2030,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2031,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2032,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2033,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2034,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2035,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2036,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2037,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2038,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2039,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2040,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2041,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2042,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2043,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2044,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2045,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2046,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2047,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2048,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2049,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2050,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2051,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2052,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2053,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2054,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2055,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2056,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2057,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2058,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2059,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2060,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2061,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2062,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2063,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2064,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2065,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2066,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2067,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2068,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2069,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2070,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2018,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2019,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2020,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2021,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2022,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2023,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2024,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2025,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2026,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2027,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2028,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2029,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2030,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2031,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2032,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2033,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2034,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2035,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2036,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2037,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2038,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2039,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2040,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2041,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2042,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2043,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2044,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2045,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2046,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2047,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2048,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2049,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2050,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2051,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2052,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2053,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2054,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2055,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2056,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2057,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2058,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2059,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2060,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2061,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2062,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2063,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2064,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2065,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2066,,,,,,4215.0503314355865
