PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1,2018,,,,,,2.7076236032045866
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1,2019,,,,,,3.173473006065824
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1,2020,,,,,,3.1477185471354687
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1,2021,,,,,,2.789855104848661
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1,2022,,,,,,2.789855104848661
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1,2023,,,,,,2.7898551048486615
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1,2024,,,,,,2.789855104848661
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1,2025,,,,,,2.789855104848661
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1,2026,,,,,,2.789855104848661
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1,2027,,,,,,2.789855104848661
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1,2028,,,,,,2.7898551048486615
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1,2029,,,,,,2.789855104848661
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1,2030,,,,,,2.789855104848661
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1,2031,,,,,,2.7898551048486606
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1,2032,,,,,,2.78985510484866
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1,2033,,,,,,2.789855104848661
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1,2034,,,,,,2.7898551048486606
