PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
VariableCost,BAU,Ecuador,Banano,,,1,2018,,,,,,2242.517457587558
VariableCost,BAU,Ecuador,Banano,,,1,2019,,,,,,1142.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2020,,,,,,1142.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2021,,,,,,1142.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2022,,,,,,1127.4376440727954
VariableCost,BAU,Ecuador,Banano,,,1,2023,,,,,,1111.521342808855
VariableCost,BAU,Ecuador,Banano,,,1,2024,,,,,,1096.9132306898957
VariableCost,BAU,Ecuador,Banano,,,1,2025,,,,,,2312.611736610453
VariableCost,BAU,Ecuador,Banano,,,1,2026,,,,,,1088.6280327716802
VariableCost,BAU,Ecuador,Banano,,,1,2027,,,,,,1091.0263795374794
VariableCost,BAU,Ecuador,Banano,,,1,2028,,,,,,1096.4771676415687
VariableCost,BAU,Ecuador,Banano,,,1,2029,,,,,,1102.364018793985
VariableCost,BAU,Ecuador,Banano,,,1,2030,,,,,,1106.2885862289293
VariableCost,BAU,Ecuador,Banano,,,1,2031,,,,,,1112.6115004296728
VariableCost,BAU,Ecuador,Banano,,,1,2032,,,,,,2336.1591412201183
VariableCost,BAU,Ecuador,Banano,,,1,2033,,,,,,1116.972130912944
VariableCost,BAU,Ecuador,Banano,,,1,2034,,,,,,1116.972130912944
VariableCost,BAU,Ecuador,Banano,,,1,2035,,,,,,1115.8819732921263
VariableCost,BAU,Ecuador,Banano,,,1,2036,,,,,,1115.8819732921263
VariableCost,BAU,Ecuador,Banano,,,1,2037,,,,,,1116.1000048162898
VariableCost,BAU,Ecuador,Banano,,,1,2038,,,,,,1116.3180363404535
VariableCost,BAU,Ecuador,Banano,,,1,2039,,,,,,2338.993551034245
VariableCost,BAU,Ecuador,Banano,,,1,2040,,,,,,1116.972130912944
VariableCost,BAU,Ecuador,Banano,,,1,2041,,,,,,1116.536067864617
VariableCost,BAU,Ecuador,Banano,,,1,2042,,,,,,1115.2278787196356
VariableCost,BAU,Ecuador,Banano,,,1,2043,,,,,,1114.5737841471448
VariableCost,BAU,Ecuador,Banano,,,1,2044,,,,,,1112.1754373813455
VariableCost,BAU,Ecuador,Banano,,,1,2045,,,,,,1111.3033112846913
VariableCost,BAU,Ecuador,Banano,,,1,2046,,,,,,2333.5427629301557
VariableCost,BAU,Ecuador,Banano,,,1,2047,,,,,,1110.431185188037
VariableCost,BAU,Ecuador,Banano,,,1,2048,,,,,,1110.2131536638735
VariableCost,BAU,Ecuador,Banano,,,1,2049,,,,,,1109.7770906155463
