PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,BAU,Guatemala,,cafe_demandado,,,2016,,,,,,0.04684249846776314
SpecifiedAnnualDemand,BAU,Guatemala,,cafe_demandado,,,2017,,,,,,0.0384557330160988
SpecifiedAnnualDemand,BAU,Guatemala,,cafe_demandado,,,2018,,,,,,0.06543235673766254
SpecifiedAnnualDemand,BAU,Guatemala,,cafe_demandado,,,2019,,,,,,0.077531017712605
SpecifiedAnnualDemand,BAU,Guatemala,,cafe_demandado,,,2020,,,,,,0.08592225080428013
SpecifiedAnnualDemand,BAU,Guatemala,,cafe_demandado,,,2021,,,,,,0.08720363318303946
SpecifiedAnnualDemand,BAU,Guatemala,,cafe_demandado,,,2022,,,,,,0.08846833398795143
SpecifiedAnnualDemand,BAU,Guatemala,,cafe_demandado,,,2023,,,,,,0.08971471207426236
SpecifiedAnnualDemand,BAU,Guatemala,,cafe_demandado,,,2024,,,,,,0.09094149835798575
SpecifiedAnnualDemand,BAU,Guatemala,,cafe_demandado,,,2025,,,,,,0.0921477805257336
SpecifiedAnnualDemand,BAU,Guatemala,,cafe_demandado,,,2026,,,,,,0.09333308967900493
SpecifiedAnnualDemand,BAU,Guatemala,,cafe_demandado,,,2027,,,,,,0.09449716588493495
SpecifiedAnnualDemand,BAU,Guatemala,,cafe_demandado,,,2028,,,,,,0.09563992249923547
SpecifiedAnnualDemand,BAU,Guatemala,,cafe_demandado,,,2029,,,,,,0.09676161945477121
SpecifiedAnnualDemand,BAU,Guatemala,,cafe_demandado,,,2030,,,,,,0.09786249120079268
SpecifiedAnnualDemand,BAU,Guatemala,,cafe_demandado,,,2031,,,,,,0.09894293018495838
SpecifiedAnnualDemand,BAU,Guatemala,,cafe_demandado,,,2032,,,,,,0.10000334924181813
SpecifiedAnnualDemand,BAU,Guatemala,,cafe_demandado,,,2033,,,,,,0.10104418668953599
SpecifiedAnnualDemand,BAU,Guatemala,,cafe_demandado,,,2034,,,,,,0.10206567188063963
SpecifiedAnnualDemand,BAU,Guatemala,,cafe_demandado,,,2035,,,,,,0.1030681615857277
