PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cafe,,,,2016,,,,,,0.2690772920590561
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cafe,,,,2017,,,,,,0.2711159380885844
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cafe,,,,2018,,,,,,0.27315458411811266
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cafe,,,,2019,,,,,,0.2751932301476401
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cafe,,,,2020,,,,,,0.2772318761771684
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cafe,,,,2021,,,,,,0.2792705222066966
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cafe,,,,2022,,,,,,0.28130916823622487
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cafe,,,,2023,,,,,,0.2833478142657523
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cafe,,,,2024,,,,,,0.2853864602952806
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cafe,,,,2025,,,,,,0.28742510632480883
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cafe,,,,2026,,,,,,0.28946375235433713
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cafe,,,,2027,,,,,,0.29150239838386455
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cafe,,,,2028,,,,,,0.29354104441339285
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cafe,,,,2029,,,,,,0.29557969044292115
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cafe,,,,2030,,,,,,0.2976183364724494
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cafe,,,,2031,,,,,,0.29965698250197675
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cafe,,,,2032,,,,,,0.30169562853150506
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cafe,,,,2033,,,,,,0.3037342745610333
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cafe,,,,2034,,,,,,0.3057729205905616
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cafe,,,,2035,,,,,,0.30781156662008896
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cafe,,,,2036,,,,,,0.30985021264961726
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cafe,,,,2037,,,,,,0.3118888586791456
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cafe,,,,2038,,,,,,0.31392750470867387
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cafe,,,,2039,,,,,,0.3159661507382012
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cafe,,,,2040,,,,,,0.3180047967677295
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cafe,,,,2041,,,,,,0.3200434427972578
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cafe,,,,2042,,,,,,0.32208208882678613
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cafe,,,,2043,,,,,,0.3241207348563135
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cafe,,,,2044,,,,,,0.32615938088584173
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cafe,,,,2045,,,,,,0.32819802691537003
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cafe,,,,2046,,,,,,0.33023667294489834
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cafe,,,,2047,,,,,,0.33227531897442575
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cafe,,,,2048,,,,,,0.33431396500395405
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cafe,,,,2049,,,,,,0.33635261103348235
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cafe,,,,2050,,,,,,0.33839125706300976
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Azucar,,,,2016,,,,,,0.26307909108271926
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Azucar,,,,2017,,,,,,0.252189196624079
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Azucar,,,,2018,,,,,,0.254972879515714
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Azucar,,,,2019,,,,,,0.25665374640952726
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Azucar,,,,2020,,,,,,0.26286608696123137
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Azucar,,,,2021,,,,,,0.26910871394864344
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Azucar,,,,2022,,,,,,0.27537085060002503
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Azucar,,,,2023,,,,,,0.28164373246582003
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Azucar,,,,2024,,,,,,0.2879186607970084
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Azucar,,,,2025,,,,,,0.29420328514789473
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Azucar,,,,2026,,,,,,0.3004853736346013
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Azucar,,,,2027,,,,,,0.30677072449550513
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Azucar,,,,2028,,,,,,0.313056032995963
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Azucar,,,,2029,,,,,,0.3193380030430077
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Azucar,,,,2030,,,,,,0.325613338855797
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Azucar,,,,2031,,,,,,0.3318835154370059
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Azucar,,,,2032,,,,,,0.3381506406741632
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Azucar,,,,2033,,,,,,0.3444123678816858
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Azucar,,,,2034,,,,,,0.35066635216573117
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Azucar,,,,2035,,,,,,0.35691024184296394
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Azucar,,,,2036,,,,,,0.3631455222175147
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Azucar,,,,2037,,,,,,0.36937360156690496
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Azucar,,,,2038,,,,,,0.3755919998782297
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Azucar,,,,2039,,,,,,0.3817982343393059
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Azucar,,,,2040,,,,,,0.3879898180286251
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Azucar,,,,2041,,,,,,0.3941679160760551
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Azucar,,,,2042,,,,,,0.40033391502202864
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Azucar,,,,2043,,,,,,0.4064856348685977
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Azucar,,,,2044,,,,,,0.412620879872588
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Azucar,,,,2045,,,,,,0.41873743266224556
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Azucar,,,,2046,,,,,,0.4248363520552105
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Azucar,,,,2047,,,,,,0.43091865082197234
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Azucar,,,,2048,,,,,,0.4369820296306245
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Azucar,,,,2049,,,,,,0.4430241647685119
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Azucar,,,,2050,,,,,,0.4490426971169959
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cardamomo,,,,2016,,,,,,0.07371888098650436
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cardamomo,,,,2017,,,,,,0.07402832147975655
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cardamomo,,,,2018,,,,,,0.0743377619730087
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cardamomo,,,,2019,,,,,,0.0746472024662609
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cardamomo,,,,2020,,,,,,0.07495664295951313
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cardamomo,,,,2021,,,,,,0.07674302646516269
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cardamomo,,,,2022,,,,,,0.07852940997081226
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cardamomo,,,,2023,,,,,,0.08031579347646181
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cardamomo,,,,2024,,,,,,0.08210217698211138
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cardamomo,,,,2025,,,,,,0.0838885604877614
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cardamomo,,,,2026,,,,,,0.08567494399341097
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cardamomo,,,,2027,,,,,,0.08746132749906053
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cardamomo,,,,2028,,,,,,0.0892477110047101
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cardamomo,,,,2029,,,,,,0.09103409451035967
TotalTechnologyAnnualActivityUpperLimit,BAU,Guatemala,Cardamomo,,,,2030,,,,,,0.09282047801600922
