PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1,2018,,,,,,2.7076236032045866
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1,2019,,,,,,3.173473006065824
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1,2020,,,,,,3.1477185471354687
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1,2021,,,,,,2.789855104848661
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1,2022,,,,,,2.789855104848661
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1,2023,,,,,,2.7452174231710824
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1,2024,,,,,,2.7228985823322933
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1,2025,,,,,,2.7005797414935038
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1,2026,,,,,,2.6782609006547147
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1,2027,,,,,,2.655942059815925
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1,2028,,,,,,2.633623218977136
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1,2029,,,,,,2.6113043781383465
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1,2030,,,,,,2.5889855372995574
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1,2031,,,,,,2.5666666964607683
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1,2032,,,,,,2.544347855621979
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1,2033,,,,,,2.5220290147831896
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1,2034,,,,,,2.4997101739444005
