PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2018,,,,,,0.12199527
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2019,,,,,,0.109795743
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2020,,,,,,0.097596216
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2021,,,,,,0.085396689
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2022,,,,,,0.073197162
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2023,,,,,,0.060997634999999994
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2024,,,,,,0.04879810799999999
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2025,,,,,,0.03659858099999999
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2026,,,,,,0.02439905399999999
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2027,,,,,,0.01219952699999999
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2028,,,,,,0.0
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2029,,,,,,0.0
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2030,,,,,,0.0
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2031,,,,,,0.0
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2032,,,,,,0.0
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2033,,,,,,0.0
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2034,,,,,,0.0
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2035,,,,,,0.0
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2036,,,,,,0.0
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2037,,,,,,0.0
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2038,,,,,,0.0
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2039,,,,,,0.0
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2040,,,,,,0.0
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2041,,,,,,0.0
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2042,,,,,,0.0
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2043,,,,,,0.0
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2044,,,,,,0.0
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2045,,,,,,0.0
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2046,,,,,,0.0
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2047,,,,,,0.0
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2048,,,,,,0.0
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2049,,,,,,0.0
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2050,,,,,,0.0
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2051,,,,,,0.0
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2052,,,,,,0.0
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2053,,,,,,0.0
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2054,,,,,,0.0
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2055,,,,,,0.0
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2056,,,,,,0.0
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2057,,,,,,0.0
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2058,,,,,,0.0
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2059,,,,,,0.0
ResidualCapacity,BAU,Ecuador,Plantacion_forestal,,,,2060,,,,,,0.0
