PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2018,,,,,,0.9039957463436927
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2019,,,,,,1.0167836738071294
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2020,,,,,,1.011344240545201
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2021,,,,,,1.0052955020264527
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2022,,,,,,1.1419741349872181
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2023,,,,,,1.3149525733898226
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2024,,,,,,1.4864653215955412
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2025,,,,,,1.640146721662143
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2026,,,,,,1.6825088045990437
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2027,,,,,,1.6825140838601467
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2028,,,,,,1.6825192967797697
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2029,,,,,,1.6825243946106188
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2030,,,,,,1.6825299130130134
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2031,,,,,,1.6825228644900836
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2032,,,,,,1.6825259182599765
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2033,,,,,,1.6825287226676142
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2034,,,,,,1.6825306696090276
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2035,,,,,,1.6825318509887808
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2036,,,,,,1.6825321211965836
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2037,,,,,,1.6825340064720873
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2038,,,,,,1.68253567913316
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2039,,,,,,1.6825372607045708
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2040,,,,,,1.6825385804043247
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2041,,,,,,1.6825399470351705
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2042,,,,,,1.6825415621053637
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2043,,,,,,1.6825427933495174
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2044,,,,,,1.6825442993587636
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2045,,,,,,1.6825455987250493
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2046,,,,,,1.6825472517449374
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2047,,,,,,1.6825486468519646
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2048,,,,,,1.6825500066761645
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2049,,,,,,1.6825514099362575
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2050,,,,,,1.6825528276122448
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2051,,,,,,1.682554440425422
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2052,,,,,,1.6825559147001687
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2053,,,,,,1.6825573863005499
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2054,,,,,,1.6825589050977996
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2055,,,,,,1.6825604400146688
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2056,,,,,,1.6825620182881735
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2057,,,,,,1.6825635487829498
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2058,,,,,,1.6825650940614647
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2059,,,,,,1.6825666543808104
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2060,,,,,,1.68256822287195
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2061,,,,,,1.6825697928464276
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2062,,,,,,1.6825713681607777
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2063,,,,,,1.6825729504101528
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2064,,,,,,1.6825745399678365
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2065,,,,,,1.6825761323549848
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2066,,,,,,1.6825777271262545
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2067,,,,,,1.6825793220642709
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2068,,,,,,1.6825809201932636
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2069,,,,,,1.682582520274762
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2070,,,,,,1.6825841211014065
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2018,,,,,,1.31871490227
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2019,,,,,,1.07088863178
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2020,,,,,,1.293475982486
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2021,,,,,,1.4857295651099998
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2022,,,,,,1.5265421513867523
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2023,,,,,,1.5698093516504377
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2024,,,,,,1.6113719378411338
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2025,,,,,,1.6531400183601257
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2026,,,,,,1.6850513494652835
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2027,,,,,,1.7351457956283802
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2028,,,,,,1.7806892039170772
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2029,,,,,,1.8159553496223586
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2030,,,,,,1.854995956658564
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2031,,,,,,1.9098009081815261
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2032,,,,,,1.9525274776451602
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2033,,,,,,2.004325498595842
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2034,,,,,,2.046871452158318
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2035,,,,,,2.090178072969271
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2036,,,,,,2.138753998340565
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2037,,,,,,2.182295159207066
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2038,,,,,,2.228068568416948
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2039,,,,,,2.2788662374576263
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2040,,,,,,2.32468445071244
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2041,,,,,,2.3719326625159898
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2042,,,,,,2.41868274060293
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2043,,,,,,2.454714962849286
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2044,,,,,,2.5023184263859743
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2045,,,,,,2.5425339030481373
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2046,,,,,,2.5941229198524476
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2047,,,,,,2.6352088461806806
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2048,,,,,,2.675278164950742
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2049,,,,,,2.7170354656141598
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2050,,,,,,2.758901742653714
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2051,,,,,,2.809231106159399
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2052,,,,,,2.854416255422731
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2053,,,,,,2.899432138021592
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2054,,,,,,2.945884324805744
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2055,,,,,,2.992628890064415
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2056,,,,,,3.040616331025922
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2057,,,,,,3.0867226487992485
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2058,,,,,,3.13312881643465
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2059,,,,,,3.179812545304412
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2060,,,,,,3.226533176980012
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2061,,,,,,3.273068261600523
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2062,,,,,,3.31955363115698
