PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2018,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2019,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2020,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2021,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2022,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2023,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2024,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2025,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2026,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2027,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2028,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2029,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2030,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2031,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2032,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2033,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2034,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2035,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2036,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2037,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2038,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2039,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2040,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2041,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2042,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2043,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2044,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2045,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2046,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2047,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2048,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2049,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2050,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2051,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2052,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2053,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2054,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2055,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2056,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2057,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2058,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2059,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2060,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2061,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2062,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2063,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2064,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2065,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2066,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2067,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2068,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2069,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Banano,,,2070,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Arroz,,,2018,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Arroz,,,2019,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Arroz,,,2020,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Arroz,,,2021,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Arroz,,,2022,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Arroz,,,2023,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Arroz,,,2024,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Arroz,,,2025,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Arroz,,,2026,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Arroz,,,2027,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Arroz,,,2028,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Arroz,,,2029,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Arroz,,,2030,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Arroz,,,2031,All,,,,,1
SpecifiedDemandProfile,BAU,Ecuador,,Dem_Arroz,,,2032,All,,,,,1
