PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
VariableCost,BAU,Ecuador,Banano,,,1,2018,,,,,,2242.517457587558
VariableCost,BAU,Ecuador,Banano,,,1,2019,,,,,,1142.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2020,,,,,,1142.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2021,,,,,,1142.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2022,,,,,,1127.4376440727954
VariableCost,BAU,Ecuador,Banano,,,1,2023,,,,,,1369.5533336585704
VariableCost,BAU,Ecuador,Banano,,,1,2024,,,,,,1338.6010170095246
VariableCost,BAU,Ecuador,Banano,,,1,2025,,,,,,2545.577918516278
VariableCost,BAU,Ecuador,Banano,,,1,2026,,,,,,1318.4478943680879
VariableCost,BAU,Ecuador,Banano,,,1,2027,,,,,,1321.2789082936147
VariableCost,BAU,Ecuador,Banano,,,1,2028,,,,,,1330.0447403068738
VariableCost,BAU,Ecuador,Banano,,,1,2029,,,,,,1339.5891628929212
VariableCost,BAU,Ecuador,Banano,,,1,2030,,,,,,1345.2472825765149
VariableCost,BAU,Ecuador,Banano,,,1,2031,,,,,,1355.4951838752759
VariableCost,BAU,Ecuador,Banano,,,1,2032,,,,,,2577.824557124483
VariableCost,BAU,Ecuador,Banano,,,1,2033,,,,,,1359.8202424201586
VariableCost,BAU,Ecuador,Banano,,,1,2034,,,,,,1357.7638617000348
VariableCost,BAU,Ecuador,Banano,,,1,2035,,,,,,1353.62637008177
VariableCost,BAU,Ecuador,Banano,,,1,2036,,,,,,1351.5770753861816
VariableCost,BAU,Ecuador,Banano,,,1,2037,,,,,,1349.9411684604074
VariableCost,BAU,Ecuador,Banano,,,1,2038,,,,,,1348.302427124819
VariableCost,BAU,Ecuador,Banano,,,1,2039,,,,,,2568.925812713208
VariableCost,BAU,Ecuador,Banano,,,1,2040,,,,,,1345.425577379293
VariableCost,BAU,Ecuador,Banano,,,1,2041,,,,,,1342.5537587587974
VariableCost,BAU,Ecuador,Banano,,,1,2042,,,,,,1338.0624019768147
VariableCost,BAU,Ecuador,Banano,,,1,2043,,,,,,1334.8027052748325
VariableCost,BAU,Ecuador,Banano,,,1,2044,,,,,,1328.323773118575
VariableCost,BAU,Ecuador,Banano,,,1,2045,,,,,,1324.6903703841763
VariableCost,BAU,Ecuador,Banano,,,1,2046,,,,,,2544.5450858341264
VariableCost,BAU,Ecuador,Banano,,,1,2047,,,,,,1319.0544407161221
VariableCost,BAU,Ecuador,Banano,,,1,2048,,,,,,1316.6427776273736
VariableCost,BAU,Ecuador,Banano,,,1,2049,,,,,,1313.8375676375103
