PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1.0,2018,,,,,,2.7076236032045866
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1.0,2019,,,,,,3.173473006065824
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1.0,2020,,,,,,3.1477185471354687
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1.0,2021,,,,,,2.789855104848661
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1.0,2022,,,,,,2.789855104848661
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1.0,2023,,,,,,2.8456522069456343
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1.0,2024,,,,,,2.873550757994121
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1.0,2025,,,,,,2.9014493090426074
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1.0,2026,,,,,,2.9293478600910943
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1.0,2027,,,,,,2.957246411139581
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1.0,2028,,,,,,2.9851449621880675
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1.0,2029,,,,,,3.0130435132365543
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1.0,2030,,,,,,3.0409420642850407
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1.0,2031,,,,,,3.0688406153335275
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1.0,2032,,,,,,3.096739166382014
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1.0,2033,,,,,,3.1246377174305007
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1.0,2034,,,,,,3.1525362684789866
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1.0,2035,,,,,,3.180434819527474
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1.0,2036,,,,,,3.20833337057596
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1.0,2037,,,,,,3.2362319216244466
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1.0,2038,,,,,,3.2641304726729334
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1.0,2039,,,,,,3.29202902372142
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1.0,2040,,,,,,3.3199275747699066
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1.0,2041,,,,,,3.347826125818393
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1.0,2042,,,,,,3.37572467686688
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1.0,2043,,,,,,3.403623227915366
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1.0,2044,,,,,,3.431521778963853
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1.0,2045,,,,,,3.45942033001234
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1.0,2046,,,,,,3.487318881060826
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1.0,2047,,,,,,3.515217432109313
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1.0,2048,,,,,,3.5431159831577994
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1.0,2049,,,,,,3.5710145342062862
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1.0,2050,,,,,,3.598913085254773
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1.0,2051,,,,,,3.6268116363032594
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1.0,2052,,,,,,3.6547101873517462
EmissionActivityRatio,BAU,Ecuador,Ganaderia_importada,,co2_ferm,1.0,2053,,,,,,3.6826087384002326
