PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2018,,,,,,0.9039957463436927
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2019,,,,,,1.0167836738071294
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2020,,,,,,1.011344240545201
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2021,,,,,,1.0052955020264527
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2022,,,,,,1.1419741349872181
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2023,,,,,,1.3206029142168205
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2024,,,,,,1.4960429663927952
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2025,,,,,,1.654232263709571
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2026,,,,,,1.700564177346176
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2027,,,,,,1.700569598626708
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2028,,,,,,1.7005749751159316
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2029,,,,,,1.7005802567811683
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2030,,,,,,1.700585988854015
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2031,,,,,,1.700578908252326
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2032,,,,,,1.700582137776336
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2033,,,,,,1.7005851244852268
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2034,,,,,,1.7005872417475674
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2035,,,,,,1.700588578729584
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2036,,,,,,1.700588980252875
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2037,,,,,,1.7005910531568142
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2038,,,,,,1.700592913649401
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2039,,,,,,1.7005946865659807
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2040,,,,,,1.7005961936068887
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2041,,,,,,1.7005977550879328
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2042,,,,,,1.700599581841753
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2043,,,,,,1.7006010134979759
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2044,,,,,,1.7006027385108249
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2045,,,,,,1.7006042525766274
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2046,,,,,,1.7006061445298508
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2047,,,,,,1.7006077711610432
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2048,,,,,,1.7006093662626656
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2049,,,,,,1.7006110130170446
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2050,,,,,,1.7006126808817728
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2051,,,,,,1.7006145621986084
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2052,,,,,,1.7006163025172603
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2053,,,,,,1.7006180460645846
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2054,,,,,,1.7006198461866004
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2055,,,,,,1.7006216698521373
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2056,,,,,,1.700623546418007
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2057,,,,,,1.7006253780490104
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2058,,,,,,1.7006272319136544
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2059,,,,,,1.7006291083761456
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2060,,,,,,1.7006310000871112
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2061,,,,,,1.700632899835484
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2062,,,,,,1.700634811815589
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2063,,,,,,1.7006367377913447
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2064,,,,,,1.7006386782068015
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2065,,,,,,1.700640628204888
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2066,,,,,,1.7006425873088267
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2067,,,,,,1.7006445530936132
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2068,,,,,,1.7006465288784538
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2069,,,,,,1.7006485133123919
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2070,,,,,,1.7006505050684853
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2018,,,,,,1.31871490227
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2019,,,,,,1.07088863178
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2020,,,,,,1.293475982486
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2021,,,,,,1.4857295651099998
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2022,,,,,,1.5265421513867523
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2023,,,,,,1.606881042525647
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2024,,,,,,1.6685530902485044
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2025,,,,,,1.7314969132900113
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2026,,,,,,1.7850660501614735
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2027,,,,,,1.8589519987447831
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2028,,,,,,1.9291860460930752
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2029,,,,,,1.9893371326015419
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2030,,,,,,2.0546014278521167
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2031,,,,,,2.138547752305392
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2032,,,,,,2.2102416545677617
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2033,,,,,,2.293447293470572
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2034,,,,,,2.367313524842227
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2035,,,,,,2.4432089000292936
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2036,,,,,,2.526493922087754
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2037,,,,,,2.6050712787320496
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2038,,,,,,2.6875251037114545
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2039,,,,,,2.7773485147880823
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2040,,,,,,2.862420141785266
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2041,,,,,,2.9505319847194795
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2042,,,,,,3.0393224276825817
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2043,,,,,,3.115807612018263
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2044,,,,,,3.2081607372816547
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2045,,,,,,3.2922821253818757
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2046,,,,,,3.3924294081870165
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2047,,,,,,3.4801580848097835
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2048,,,,,,3.5677192592048477
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2049,,,,,,3.658721875274708
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2050,,,,,,3.7510916560987315
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2051,,,,,,3.856307615475089
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2052,,,,,,3.955852389520465
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2053,,,,,,4.056490832091666
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2054,,,,,,4.160491261743529
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2055,,,,,,4.266287690792246
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2056,,,,,,4.3752673199298595
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2057,,,,,,4.48295088802399
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2058,,,,,,4.592467489194412
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2059,,,,,,4.703804205117085
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2060,,,,,,4.816621075989948
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2061,,,,,,4.930592629595346
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2062,,,,,,5.04592593303896
