PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cafe,,,,2016,,,,,,0.2690772920590561
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cafe,,,,2017,,,,,,0.2711159380885844
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cafe,,,,2018,,,,,,0.27315458411811266
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cafe,,,,2019,,,,,,0.2751932301476401
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cafe,,,,2020,,,,,,0.2772318761771684
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cafe,,,,2021,,,,,,0.2792705222066966
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cafe,,,,2022,,,,,,0.28130916823622487
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cafe,,,,2023,,,,,,0.2833478142657523
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cafe,,,,2024,,,,,,0.2853864602952806
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cafe,,,,2025,,,,,,0.28742510632480883
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cafe,,,,2026,,,,,,0.28946375235433713
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cafe,,,,2027,,,,,,0.29150239838386455
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cafe,,,,2028,,,,,,0.29354104441339285
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cafe,,,,2029,,,,,,0.29557969044292115
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cafe,,,,2030,,,,,,0.2976183364724494
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cafe,,,,2031,,,,,,0.29965698250197675
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cafe,,,,2032,,,,,,0.30169562853150506
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cafe,,,,2033,,,,,,0.3037342745610333
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cafe,,,,2034,,,,,,0.3057729205905616
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cafe,,,,2035,,,,,,0.30781156662008896
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cafe,,,,2036,,,,,,0.30985021264961726
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cafe,,,,2037,,,,,,0.3118888586791456
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cafe,,,,2038,,,,,,0.31392750470867387
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cafe,,,,2039,,,,,,0.3159661507382012
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cafe,,,,2040,,,,,,0.3180047967677295
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cafe,,,,2041,,,,,,0.3200434427972578
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cafe,,,,2042,,,,,,0.32208208882678613
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cafe,,,,2043,,,,,,0.3241207348563135
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cafe,,,,2044,,,,,,0.32615938088584173
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cafe,,,,2045,,,,,,0.32819802691537003
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cafe,,,,2046,,,,,,0.33023667294489834
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cafe,,,,2047,,,,,,0.33227531897442575
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cafe,,,,2048,,,,,,0.33431396500395405
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cafe,,,,2049,,,,,,0.33635261103348235
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cafe,,,,2050,,,,,,0.33839125706300976
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Azucar,,,,2016,,,,,,0.26307909108271926
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Azucar,,,,2017,,,,,,0.252189196624079
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Azucar,,,,2018,,,,,,0.254972879515714
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Azucar,,,,2019,,,,,,0.25665374640952726
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Azucar,,,,2020,,,,,,0.26286608696123137
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Azucar,,,,2021,,,,,,0.26910871394864344
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Azucar,,,,2022,,,,,,0.27537085060002503
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Azucar,,,,2023,,,,,,0.28164373246582003
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Azucar,,,,2024,,,,,,0.2879186607970084
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Azucar,,,,2025,,,,,,0.29420328514789473
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Azucar,,,,2026,,,,,,0.3004853736346013
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Azucar,,,,2027,,,,,,0.30677072449550513
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Azucar,,,,2028,,,,,,0.313056032995963
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Azucar,,,,2029,,,,,,0.3193380030430077
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Azucar,,,,2030,,,,,,0.325613338855797
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Azucar,,,,2031,,,,,,0.3318835154370059
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Azucar,,,,2032,,,,,,0.3381506406741632
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Azucar,,,,2033,,,,,,0.3444123678816858
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Azucar,,,,2034,,,,,,0.35066635216573117
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Azucar,,,,2035,,,,,,0.35691024184296394
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Azucar,,,,2036,,,,,,0.3631455222175147
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Azucar,,,,2037,,,,,,0.36937360156690496
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Azucar,,,,2038,,,,,,0.3755919998782297
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Azucar,,,,2039,,,,,,0.3817982343393059
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Azucar,,,,2040,,,,,,0.3879898180286251
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Azucar,,,,2041,,,,,,0.3941679160760551
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Azucar,,,,2042,,,,,,0.40033391502202864
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Azucar,,,,2043,,,,,,0.4064856348685977
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Azucar,,,,2044,,,,,,0.412620879872588
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Azucar,,,,2045,,,,,,0.41873743266224556
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Azucar,,,,2046,,,,,,0.4248363520552105
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Azucar,,,,2047,,,,,,0.43091865082197234
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Azucar,,,,2048,,,,,,0.4369820296306245
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Azucar,,,,2049,,,,,,0.4430241647685119
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Azucar,,,,2050,,,,,,0.4490426971169959
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cardamomo,,,,2016,,,,,,0.07371888098650436
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cardamomo,,,,2017,,,,,,0.07402832147975655
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cardamomo,,,,2018,,,,,,0.0743377619730087
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cardamomo,,,,2019,,,,,,0.0746472024662609
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cardamomo,,,,2020,,,,,,0.07495664295951313
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cardamomo,,,,2021,,,,,,0.07674302646516269
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cardamomo,,,,2022,,,,,,0.07852940997081226
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cardamomo,,,,2023,,,,,,0.08031579347646181
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cardamomo,,,,2024,,,,,,0.08210217698211138
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cardamomo,,,,2025,,,,,,0.0838885604877614
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cardamomo,,,,2026,,,,,,0.08567494399341097
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cardamomo,,,,2027,,,,,,0.08746132749906053
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cardamomo,,,,2028,,,,,,0.0892477110047101
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cardamomo,,,,2029,,,,,,0.09103409451035967
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cardamomo,,,,2030,,,,,,0.09282047801600922
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cardamomo,,,,2031,,,,,,0.09460686152165879
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cardamomo,,,,2032,,,,,,0.09639324502730881
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cardamomo,,,,2033,,,,,,0.09817962853295836
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cardamomo,,,,2034,,,,,,0.09996601203860793
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cardamomo,,,,2035,,,,,,0.10175239554425751
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cardamomo,,,,2036,,,,,,0.10353877904990706
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cardamomo,,,,2037,,,,,,0.10532516255555663
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cardamomo,,,,2038,,,,,,0.10711154606120667
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cardamomo,,,,2039,,,,,,0.10889792956685623
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cardamomo,,,,2040,,,,,,0.11068431307250579
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cardamomo,,,,2041,,,,,,0.11247069657815535
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cardamomo,,,,2042,,,,,,0.11425708008380493
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cardamomo,,,,2043,,,,,,0.1160434635894545
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cardamomo,,,,2044,,,,,,0.11782984709510406
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cardamomo,,,,2045,,,,,,0.11961623060075408
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cardamomo,,,,2046,,,,,,0.12140261410640364
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cardamomo,,,,2047,,,,,,0.12318899761205321
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cardamomo,,,,2048,,,,,,0.12497538111770279
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cardamomo,,,,2049,,,,,,0.12676176462335237
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Cardamomo,,,,2050,,,,,,0.12854814812900192
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Banano,,,,2016,,,,,,0.07738385017607537
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Banano,,,,2017,,,,,,0.08005477526411271
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Banano,,,,2018,,,,,,0.08272570035215075
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Banano,,,,2019,,,,,,0.08539662544018808
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Banano,,,,2020,,,,,,0.08806755052822614
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Banano,,,,2021,,,,,,0.09073847561626348
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Banano,,,,2022,,,,,,0.09340940070430151
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Banano,,,,2023,,,,,,0.09608032579233884
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Banano,,,,2024,,,,,,0.09875125088037687
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Banano,,,,2025,,,,,,0.10142217596841421
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Banano,,,,2026,,,,,,0.10409310105645224
TotalTechnologyAnnualActivityLowerLimit,BAU,Guatemala,Banano,,,,2027,,,,,,0.1067640261444896
