PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2018,,,,,,0.262186
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2019,,,,,,0.31916
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2020,,,,,,0.288525
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2021,,,,,,0.27613
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2022,,,,,,0.278372574704055
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2023,,,,,,0.2729202134244903
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2024,,,,,,0.2874526567293916
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2025,,,,,,0.28588781147610665
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2026,,,,,,0.2852853039243394
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2027,,,,,,0.2852853039243394
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2028,,,,,,0.2852853039243394
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2029,,,,,,0.2852853039243394
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2030,,,,,,0.2852853039243394
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2031,,,,,,0.2852853039243394
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2032,,,,,,0.2852853039243394
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2033,,,,,,0.2852853039243394
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2034,,,,,,0.2852853039243394
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2035,,,,,,0.2852853039243394
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2036,,,,,,0.2852853039243394
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2037,,,,,,0.2852853039243394
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2038,,,,,,0.2852853039243394
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2039,,,,,,0.2852853039243394
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2040,,,,,,0.2852853039243394
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2041,,,,,,0.2852853039243394
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2042,,,,,,0.2852853039243394
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2043,,,,,,0.2852853039243394
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2044,,,,,,0.2852853039243394
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2045,,,,,,0.2852853039243394
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2046,,,,,,0.2852853039243394
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2047,,,,,,0.2852853039243394
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2048,,,,,,0.2852853039243394
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2049,,,,,,0.2852853039243394
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2050,,,,,,0.2852853039243394
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2051,,,,,,0.2852853039243394
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2052,,,,,,0.2852853039243394
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2053,,,,,,0.2852853039243394
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2054,,,,,,0.2852853039243394
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2055,,,,,,0.2852853039243394
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2056,,,,,,0.2852853039243394
TotalTechnologyAnnualActivityUpperLimit,BAU,Ecuador,Banano,,,,2057,,,,,,0.2852853039243394
