PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
YearSplit,BAU,,,,,,2018,All,,,,,1
YearSplit,BAU,,,,,,2019,All,,,,,1
YearSplit,BAU,,,,,,2020,All,,,,,1
YearSplit,BAU,,,,,,2021,All,,,,,1
YearSplit,BAU,,,,,,2022,All,,,,,1
YearSplit,BAU,,,,,,2023,All,,,,,1
YearSplit,BAU,,,,,,2024,All,,,,,1
YearSplit,BAU,,,,,,2025,All,,,,,1
YearSplit,BAU,,,,,,2026,All,,,,,1
YearSplit,BAU,,,,,,2027,All,,,,,1
YearSplit,BAU,,,,,,2028,All,,,,,1
YearSplit,BAU,,,,,,2029,All,,,,,1
YearSplit,BAU,,,,,,2030,All,,,,,1
YearSplit,BAU,,,,,,2031,All,,,,,1
YearSplit,BAU,,,,,,2032,All,,,,,1
YearSplit,BAU,,,,,,2033,All,,,,,1
YearSplit,BAU,,,,,,2034,All,,,,,1
YearSplit,BAU,,,,,,2035,All,,,,,1
YearSplit,BAU,,,,,,2036,All,,,,,1
YearSplit,BAU,,,,,,2037,All,,,,,1
YearSplit,BAU,,,,,,2038,All,,,,,1
YearSplit,BAU,,,,,,2039,All,,,,,1
YearSplit,BAU,,,,,,2040,All,,,,,1
YearSplit,BAU,,,,,,2041,All,,,,,1
YearSplit,BAU,,,,,,2042,All,,,,,1
YearSplit,BAU,,,,,,2043,All,,,,,1
YearSplit,BAU,,,,,,2044,All,,,,,1
YearSplit,BAU,,,,,,2045,All,,,,,1
YearSplit,BAU,,,,,,2046,All,,,,,1
YearSplit,BAU,,,,,,2047,All,,,,,1
YearSplit,BAU,,,,,,2048,All,,,,,1
YearSplit,BAU,,,,,,2049,All,,,,,1
YearSplit,BAU,,,,,,2050,All,,,,,1
YearSplit,BAU,,,,,,2051,All,,,,,1
YearSplit,BAU,,,,,,2052,All,,,,,1
YearSplit,BAU,,,,,,2053,All,,,,,1
YearSplit,BAU,,,,,,2054,All,,,,,1
YearSplit,BAU,,,,,,2055,All,,,,,1
YearSplit,BAU,,,,,,2056,All,,,,,1
YearSplit,BAU,,,,,,2057,All,,,,,1
YearSplit,BAU,,,,,,2058,All,,,,,1
YearSplit,BAU,,,,,,2059,All,,,,,1
YearSplit,BAU,,,,,,2060,All,,,,,1
YearSplit,BAU,,,,,,2061,All,,,,,1
YearSplit,BAU,,,,,,2062,All,,,,,1
YearSplit,BAU,,,,,,2063,All,,,,,1
YearSplit,BAU,,,,,,2064,All,,,,,1
YearSplit,BAU,,,,,,2065,All,,,,,1
YearSplit,BAU,,,,,,2066,All,,,,,1
YearSplit,BAU,,,,,,2067,All,,,,,1
YearSplit,BAU,,,,,,2068,All,,,,,1
YearSplit,BAU,,,,,,2069,All,,,,,1
YearSplit,BAU,,,,,,2070,All,,,,,1
