Strategy,Fuel,Fuel.DESCRIPTION,Technology,Technology.DESCRIPTION,Emission,Emission.DESCRIPTION,Year,RateOfDemand,Demand,NumberOfNewTechnologyUnits,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,RateOfActivity,RateOfTotalActivity,TotalTechnologyAnnualActivity,TotalAnnualTechnologyActivityByMode,TotalTechnologyModelPeriodActivity,RateOfProductionByTechnologyByMode,RateOfProductionByTechnology,ProductionByTechnology,ProductionByTechnologyAnnual,RateOfProduction,Production,RateOfUseByTechnologyByMode,RateOfUseByTechnology,UseByTechnologyAnnual,UseByTechnology,UseAnnual,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,TotalCapacityInReserveMargin,DemandNeedingReserveMargin,TotalREProductionAnnual,RETotalProductionOfTargetFuelAnnual,AnnualTechnologyEmissionByMode,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,ModelPeriodEmissions
PA,,,Bosque,,,,2018,,,,12.6363,12.6363,12.6363,12.6363,12.6363,12.6363,12.6363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Bosque,,,,2019,,,,12.5788,12.5788,12.5788,12.5788,12.5788,12.5788,12.5788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Bosque,,,,2020,,,,12.5214,12.5214,12.5214,12.5214,12.5214,12.5214,12.5214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Bosque,,,,2021,,,,12.4644,12.4644,12.4644,12.4644,12.4644,12.4644,12.4644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Bosque,,,,2022,,,,12.4076,12.4076,12.4076,12.4076,12.4076,12.4076,12.4076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Bosque,,,,2023,,,,12.3748,12.3748,12.3748,12.3748,12.3748,12.3748,12.3748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Bosque,,,,2024,,,,12.3302,12.3302,12.3302,12.3302,12.3302,12.3302,12.3302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Bosque,,,,2025,,,,12.2862,12.2862,12.2862,12.2862,12.2862,12.2862,12.2862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Bosque,,,,2026,,,,12.2428,12.2428,12.2428,12.2428,12.2428,12.2428,12.2428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Bosque,,,,2027,,,,12.2001,12.2001,12.2001,12.2001,12.2001,12.2001,12.2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
