PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,BAU,ECU,TRNMIC,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,ECU,TRNBUS,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,ECU,TRNTAX,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,ECU,TRNPASRAI,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,ECU,TRNMOT,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,ECU,TRNSED,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,ECU,TRNSUV,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,ECU,TRNCAM,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,ECU,TRNFREHEA,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,ECU,TRNFREMED,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,ECU,TRNFRELIG,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,ECU,TRNCATTRU,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,ECU,TRNFRERAI,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,ECU,TRNMICHYBDSL,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,ECU,TRNMICGSL,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,ECU,TRNMICHYD,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,ECU,TRNMICELE,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,ECU,TRNMICDSL,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,ECU,TRNMICLPG,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,ECU,TRNBUSHYBDSL,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,ECU,TRNBUSNGV,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,ECU,TRNBUSHYD,,,,,,,,,,1.0
