PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityFactor,DDP,ECU,PP_GEO,,,,2018,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2019,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2020,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2021,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2022,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2023,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2024,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2025,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2026,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2027,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2028,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2029,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2030,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2031,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2032,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2033,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2034,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2035,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2036,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2037,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2038,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2039,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2040,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2041,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2042,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2043,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2044,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2045,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2046,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2047,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2048,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2049,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2050,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2051,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2052,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2053,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2054,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2055,All,,,,,0.95
CapacityFactor,DDP,ECU,PP_GEO,,,,2056,All,,,,,0.95
