PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2018,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2019,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2020,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2021,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2022,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2023,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2024,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2025,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2026,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2027,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2028,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2029,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2030,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2031,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2032,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2033,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2034,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2035,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2036,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2037,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2038,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2039,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2040,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2041,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2042,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2043,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2044,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2045,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2046,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2047,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2048,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2049,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2050,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2051,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2052,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2053,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2054,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2055,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2056,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2057,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2058,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2059,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2060,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2061,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2062,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2063,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2064,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2065,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2066,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2067,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2068,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2069,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMSMA,,,,2070,,,,,,0.0422
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2018,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2019,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2020,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2021,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2022,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2023,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2024,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2025,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2026,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2027,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2028,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2029,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2030,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2031,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2032,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2033,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2034,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2035,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2036,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2037,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2038,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2039,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2040,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2041,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2042,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2043,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2044,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2045,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2046,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2047,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2048,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2049,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2050,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2051,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2052,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2053,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2054,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2055,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2056,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2057,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2058,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2059,,,,,,0.213
ResidualCapacity,DDP,ECU,PP_HYDPACDAMMED,,,,2060,,,,,,0.213
