PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
FixedCost,BAU,ECU,PP_GEO,,,,2018,,,,,,117.0
FixedCost,BAU,ECU,PP_GEO,,,,2019,,,,,,117.0
FixedCost,BAU,ECU,PP_GEO,,,,2020,,,,,,102.0
FixedCost,BAU,ECU,PP_GEO,,,,2021,,,,,,102.0
FixedCost,BAU,ECU,PP_GEO,,,,2022,,,,,,102.0
FixedCost,BAU,ECU,PP_GEO,,,,2023,,,,,,102.0
FixedCost,BAU,ECU,PP_GEO,,,,2024,,,,,,102.0
FixedCost,BAU,ECU,PP_GEO,,,,2025,,,,,,95.0
FixedCost,BAU,ECU,PP_GEO,,,,2026,,,,,,95.0
FixedCost,BAU,ECU,PP_GEO,,,,2027,,,,,,95.0
FixedCost,BAU,ECU,PP_GEO,,,,2028,,,,,,95.0
FixedCost,BAU,ECU,PP_GEO,,,,2029,,,,,,95.0
FixedCost,BAU,ECU,PP_GEO,,,,2030,,,,,,88.0
FixedCost,BAU,ECU,PP_GEO,,,,2031,,,,,,88.0
FixedCost,BAU,ECU,PP_GEO,,,,2032,,,,,,88.0
FixedCost,BAU,ECU,PP_GEO,,,,2033,,,,,,88.0
FixedCost,BAU,ECU,PP_GEO,,,,2034,,,,,,88.0
FixedCost,BAU,ECU,PP_GEO,,,,2035,,,,,,88.0
FixedCost,BAU,ECU,PP_GEO,,,,2036,,,,,,88.0
FixedCost,BAU,ECU,PP_GEO,,,,2037,,,,,,88.0
FixedCost,BAU,ECU,PP_GEO,,,,2038,,,,,,88.0
FixedCost,BAU,ECU,PP_GEO,,,,2039,,,,,,88.0
FixedCost,BAU,ECU,PP_GEO,,,,2040,,,,,,88.0
FixedCost,BAU,ECU,PP_GEO,,,,2041,,,,,,88.0
FixedCost,BAU,ECU,PP_GEO,,,,2042,,,,,,88.0
FixedCost,BAU,ECU,PP_GEO,,,,2043,,,,,,88.0
FixedCost,BAU,ECU,PP_GEO,,,,2044,,,,,,88.0
FixedCost,BAU,ECU,PP_GEO,,,,2045,,,,,,88.0
FixedCost,BAU,ECU,PP_GEO,,,,2046,,,,,,88.0
FixedCost,BAU,ECU,PP_GEO,,,,2047,,,,,,88.0
FixedCost,BAU,ECU,PP_GEO,,,,2048,,,,,,88.0
FixedCost,BAU,ECU,PP_GEO,,,,2049,,,,,,88.0
FixedCost,BAU,ECU,PP_GEO,,,,2050,,,,,,88.0
FixedCost,BAU,ECU,PP_GEO,,,,2051,,,,,,88.0
FixedCost,BAU,ECU,PP_GEO,,,,2052,,,,,,88.0
FixedCost,BAU,ECU,PP_GEO,,,,2053,,,,,,88.0
FixedCost,BAU,ECU,PP_GEO,,,,2054,,,,,,88.0
FixedCost,BAU,ECU,PP_GEO,,,,2055,,,,,,88.0
FixedCost,BAU,ECU,PP_GEO,,,,2056,,,,,,88.0
FixedCost,BAU,ECU,PP_GEO,,,,2057,,,,,,88.0
FixedCost,BAU,ECU,PP_GEO,,,,2058,,,,,,88.0
FixedCost,BAU,ECU,PP_GEO,,,,2059,,,,,,88.0
