PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,DDP,ECU,TRNMIC,,,,,,,,,,1.0
CapacityToActivityUnit,DDP,ECU,TRNBUS,,,,,,,,,,1.0
CapacityToActivityUnit,DDP,ECU,TRNTAX,,,,,,,,,,1.0
CapacityToActivityUnit,DDP,ECU,TRNPASRAI,,,,,,,,,,1.0
CapacityToActivityUnit,DDP,ECU,TRNMOT,,,,,,,,,,1.0
CapacityToActivityUnit,DDP,ECU,TRNSED,,,,,,,,,,1.0
CapacityToActivityUnit,DDP,ECU,TRNSUV,,,,,,,,,,1.0
CapacityToActivityUnit,DDP,ECU,TRNCAM,,,,,,,,,,1.0
CapacityToActivityUnit,DDP,ECU,TRNFREHEA,,,,,,,,,,1.0
CapacityToActivityUnit,DDP,ECU,TRNFREMED,,,,,,,,,,1.0
CapacityToActivityUnit,DDP,ECU,TRNFRELIG,,,,,,,,,,1.0
CapacityToActivityUnit,DDP,ECU,TRNCATTRU,,,,,,,,,,1.0
CapacityToActivityUnit,DDP,ECU,TRNFRERAI,,,,,,,,,,1.0
CapacityToActivityUnit,DDP,ECU,TRNMICHYBDSL,,,,,,,,,,1.0
CapacityToActivityUnit,DDP,ECU,TRNMICGSL,,,,,,,,,,1.0
CapacityToActivityUnit,DDP,ECU,TRNMICHYD,,,,,,,,,,1.0
CapacityToActivityUnit,DDP,ECU,TRNMICELE,,,,,,,,,,1.0
CapacityToActivityUnit,DDP,ECU,TRNMICDSL,,,,,,,,,,1.0
CapacityToActivityUnit,DDP,ECU,TRNMICLPG,,,,,,,,,,1.0
CapacityToActivityUnit,DDP,ECU,TRNBUSHYBDSL,,,,,,,,,,1.0
CapacityToActivityUnit,DDP,ECU,TRNBUSNGV,,,,,,,,,,1.0
CapacityToActivityUnit,DDP,ECU,TRNBUSHYD,,,,,,,,,,1.0
CapacityToActivityUnit,DDP,ECU,TRNBUSELE,,,,,,,,,,1.0
CapacityToActivityUnit,DDP,ECU,TRNBUSDSL,,,,,,,,,,1.0
CapacityToActivityUnit,DDP,ECU,TRNBUSLPG,,,,,,,,,,1.0
CapacityToActivityUnit,DDP,ECU,TRNTAXHYBDSL,,,,,,,,,,1.0
CapacityToActivityUnit,DDP,ECU,TRNTAXELE,,,,,,,,,,1.0
CapacityToActivityUnit,DDP,ECU,TRNTAXDSL,,,,,,,,,,1.0
CapacityToActivityUnit,DDP,ECU,TRNTAXHYBGSL,,,,,,,,,,1.0
CapacityToActivityUnit,DDP,ECU,TRNTAXGSL,,,,,,,,,,1.0
CapacityToActivityUnit,DDP,ECU,TRNTAXLPG,,,,,,,,,,1.0
