PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,DDP70,ECU,TRNMIC,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNBUS,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNTAX,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNPASRAI,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNMOT,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNSED,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNSUV,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNCAM,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNFREHEA,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNFREMED,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNFRELIG,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNCATTRU,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNFRERAI,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNMICHYBDSL,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNMICGSL,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNMICHYD,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNMICELE,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNMICDSL,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNMICLPG,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNBUSHYBDSL,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNBUSNGV,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNBUSHYD,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNBUSELE,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNBUSDSL,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNBUSLPG,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNTAXHYBDSL,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNTAXELE,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNTAXDSL,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNTAXHYBGSL,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNTAXGSL,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNTAXLPG,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNPASRAIHYD,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNPASRAIELE,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNPASRAIDSL,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNMOTELE,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNMOTGSL,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNSEDELE,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNSEDDSL,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNSEDHYBGSL,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNSEDGSL,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNSEDLPG,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNSUVHYBDSL,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNSUVNGV,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNSUVELE,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNSUVDSL,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNSUVHYBGSL,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNSUVGSL,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNSUVLPG,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNCAMHYBDSL,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNCAMNGV,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNCAMELE,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNCAMDSL,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNCAMHYBGSL,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNCAMGSL,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNCAMLPG,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNFREHEAHYBDSL,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNFREHEAHYD,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNFREHEAELE,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNFREHEADSL,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNFREHEAGSL,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNFREHEALPG,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNFREMEDHYBDSL,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNFREMEDNGV,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNFREMEDHYD,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNFREMEDELE,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNFREMEDDSL,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNFREMEDGSL,,,,,,,,,,1.0
CapacityToActivityUnit,DDP70,ECU,TRNFREMEDLPG,,,,,,,,,,1.0
