PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,DDP70,ECU,,DEMTRNPASPUB,,,2018,,,,,,115.6696
SpecifiedAnnualDemand,DDP70,ECU,,DEMTRNPASPUB,,,2019,,,,,,115.7274
SpecifiedAnnualDemand,DDP70,ECU,,DEMTRNPASPUB,,,2020,,,,,,106.715
SpecifiedAnnualDemand,DDP70,ECU,,DEMTRNPASPUB,,,2021,,,,,,115.0256
SpecifiedAnnualDemand,DDP70,ECU,,DEMTRNPASPUB,,,2022,,,,,,116.5643
SpecifiedAnnualDemand,DDP70,ECU,,DEMTRNPASPUB,,,2023,,,,,,118.0973
SpecifiedAnnualDemand,DDP70,ECU,,DEMTRNPASPUB,,,2024,,,,,,119.8304
SpecifiedAnnualDemand,DDP70,ECU,,DEMTRNPASPUB,,,2025,,,,,,121.5545
SpecifiedAnnualDemand,DDP70,ECU,,DEMTRNPASPUB,,,2026,,,,,,123.2679
SpecifiedAnnualDemand,DDP70,ECU,,DEMTRNPASPUB,,,2027,,,,,,124.9698
SpecifiedAnnualDemand,DDP70,ECU,,DEMTRNPASPUB,,,2028,,,,,,126.6592
SpecifiedAnnualDemand,DDP70,ECU,,DEMTRNPASPUB,,,2029,,,,,,128.3356
SpecifiedAnnualDemand,DDP70,ECU,,DEMTRNPASPUB,,,2030,,,,,,129.9975
SpecifiedAnnualDemand,DDP70,ECU,,DEMTRNPASPUB,,,2031,,,,,,131.6439
SpecifiedAnnualDemand,DDP70,ECU,,DEMTRNPASPUB,,,2032,,,,,,133.2736
SpecifiedAnnualDemand,DDP70,ECU,,DEMTRNPASPUB,,,2033,,,,,,134.8856
SpecifiedAnnualDemand,DDP70,ECU,,DEMTRNPASPUB,,,2034,,,,,,136.479
SpecifiedAnnualDemand,DDP70,ECU,,DEMTRNPASPUB,,,2035,,,,,,138.0527
SpecifiedAnnualDemand,DDP70,ECU,,DEMTRNPASPUB,,,2036,,,,,,139.606
SpecifiedAnnualDemand,DDP70,ECU,,DEMTRNPASPUB,,,2037,,,,,,141.1378
SpecifiedAnnualDemand,DDP70,ECU,,DEMTRNPASPUB,,,2038,,,,,,142.6473
SpecifiedAnnualDemand,DDP70,ECU,,DEMTRNPASPUB,,,2039,,,,,,144.1337
SpecifiedAnnualDemand,DDP70,ECU,,DEMTRNPASPUB,,,2040,,,,,,145.596
SpecifiedAnnualDemand,DDP70,ECU,,DEMTRNPASPUB,,,2041,,,,,,147.0342
SpecifiedAnnualDemand,DDP70,ECU,,DEMTRNPASPUB,,,2042,,,,,,148.4477
SpecifiedAnnualDemand,DDP70,ECU,,DEMTRNPASPUB,,,2043,,,,,,149.8356
SpecifiedAnnualDemand,DDP70,ECU,,DEMTRNPASPUB,,,2044,,,,,,151.1974
SpecifiedAnnualDemand,DDP70,ECU,,DEMTRNPASPUB,,,2045,,,,,,152.5326
SpecifiedAnnualDemand,DDP70,ECU,,DEMTRNPASPUB,,,2046,,,,,,153.8405
SpecifiedAnnualDemand,DDP70,ECU,,DEMTRNPASPUB,,,2047,,,,,,155.1213
SpecifiedAnnualDemand,DDP70,ECU,,DEMTRNPASPUB,,,2048,,,,,,156.3739
SpecifiedAnnualDemand,DDP70,ECU,,DEMTRNPASPUB,,,2049,,,,,,157.5984
SpecifiedAnnualDemand,DDP70,ECU,,DEMTRNPASPUB,,,2050,,,,,,158.7951
SpecifiedAnnualDemand,DDP70,ECU,,DEMTRNPASPUB,,,2051,,,,,,159.8992
SpecifiedAnnualDemand,DDP70,ECU,,DEMTRNPASPUB,,,2052,,,,,,160.9696
SpecifiedAnnualDemand,DDP70,ECU,,DEMTRNPASPUB,,,2053,,,,,,162.0089
