PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
YearSplit,DDP70,,,,,,2018,All,,,,,1
YearSplit,DDP70,,,,,,2019,All,,,,,1
YearSplit,DDP70,,,,,,2020,All,,,,,1
YearSplit,DDP70,,,,,,2021,All,,,,,1
YearSplit,DDP70,,,,,,2022,All,,,,,1
YearSplit,DDP70,,,,,,2023,All,,,,,1
YearSplit,DDP70,,,,,,2024,All,,,,,1
YearSplit,DDP70,,,,,,2025,All,,,,,1
YearSplit,DDP70,,,,,,2026,All,,,,,1
YearSplit,DDP70,,,,,,2027,All,,,,,1
YearSplit,DDP70,,,,,,2028,All,,,,,1
YearSplit,DDP70,,,,,,2029,All,,,,,1
YearSplit,DDP70,,,,,,2030,All,,,,,1
YearSplit,DDP70,,,,,,2031,All,,,,,1
YearSplit,DDP70,,,,,,2032,All,,,,,1
YearSplit,DDP70,,,,,,2033,All,,,,,1
YearSplit,DDP70,,,,,,2034,All,,,,,1
YearSplit,DDP70,,,,,,2035,All,,,,,1
YearSplit,DDP70,,,,,,2036,All,,,,,1
YearSplit,DDP70,,,,,,2037,All,,,,,1
YearSplit,DDP70,,,,,,2038,All,,,,,1
YearSplit,DDP70,,,,,,2039,All,,,,,1
YearSplit,DDP70,,,,,,2040,All,,,,,1
YearSplit,DDP70,,,,,,2041,All,,,,,1
YearSplit,DDP70,,,,,,2042,All,,,,,1
YearSplit,DDP70,,,,,,2043,All,,,,,1
YearSplit,DDP70,,,,,,2044,All,,,,,1
YearSplit,DDP70,,,,,,2045,All,,,,,1
YearSplit,DDP70,,,,,,2046,All,,,,,1
YearSplit,DDP70,,,,,,2047,All,,,,,1
YearSplit,DDP70,,,,,,2048,All,,,,,1
YearSplit,DDP70,,,,,,2049,All,,,,,1
YearSplit,DDP70,,,,,,2050,All,,,,,1
YearSplit,DDP70,,,,,,2051,All,,,,,1
YearSplit,DDP70,,,,,,2052,All,,,,,1
YearSplit,DDP70,,,,,,2053,All,,,,,1
YearSplit,DDP70,,,,,,2054,All,,,,,1
YearSplit,DDP70,,,,,,2055,All,,,,,1
YearSplit,DDP70,,,,,,2056,All,,,,,1
YearSplit,DDP70,,,,,,2057,All,,,,,1
YearSplit,DDP70,,,,,,2058,All,,,,,1
YearSplit,DDP70,,,,,,2059,All,,,,,1
YearSplit,DDP70,,,,,,2060,All,,,,,1
YearSplit,DDP70,,,,,,2061,All,,,,,1
YearSplit,DDP70,,,,,,2062,All,,,,,1
YearSplit,DDP70,,,,,,2063,All,,,,,1
YearSplit,DDP70,,,,,,2064,All,,,,,1
YearSplit,DDP70,,,,,,2065,All,,,,,1
YearSplit,DDP70,,,,,,2066,All,,,,,1
YearSplit,DDP70,,,,,,2067,All,,,,,1
YearSplit,DDP70,,,,,,2068,All,,,,,1
YearSplit,DDP70,,,,,,2069,All,,,,,1
YearSplit,DDP70,,,,,,2070,All,,,,,1
