PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,PA,ECU,TRNMIC,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNBUS,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNTAX,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNPASRAI,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNMOT,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNSED,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNSUV,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNCAM,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNFREHEA,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNFREMED,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNFRELIG,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNCATTRU,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNFRERAI,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNMICHYBDSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNMICGSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNMICHYD,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNMICELE,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNMICDSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNMICLPG,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNBUSHYBDSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNBUSNGV,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNBUSHYD,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNBUSELE,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNBUSDSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNBUSLPG,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNTAXHYBDSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNTAXELE,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNTAXDSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNTAXHYBGSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNTAXGSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNTAXLPG,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNPASRAIHYD,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNPASRAIELE,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNPASRAIDSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNMOTELE,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNMOTGSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNSEDELE,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNSEDDSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNSEDHYBGSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNSEDGSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNSEDLPG,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNSUVHYBDSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNSUVNGV,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNSUVELE,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNSUVDSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNSUVHYBGSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNSUVGSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNSUVLPG,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNCAMHYBDSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNCAMNGV,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNCAMELE,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNCAMDSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNCAMHYBGSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNCAMGSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNCAMLPG,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNFREHEAHYBDSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNFREHEAHYD,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNFREHEAELE,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNFREHEADSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNFREHEAGSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNFREHEALPG,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNFREMEDHYBDSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNFREMEDNGV,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNFREMEDHYD,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNFREMEDELE,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNFREMEDDSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNFREMEDGSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNFREMEDLPG,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNFRELIGHYBDSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNFRELIGNGV,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNFRELIGELE,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNFRELIGDSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNFRELIGHYBGSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNFRELIGGSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNFRELIGLPG,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNCATTRUELE,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNFRERAIHYD,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNFRERAIELE,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,TRNFRERAIDSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,T4_DSLPUB,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,T4_NGSPUB,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,T4_HYDPUB,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,T4_ELEPUB,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,T4_LPGPUB,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,T4_GSLPUB,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,T4_ELEPRI,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,T4_GSLPRI,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,T4_DSLPRI,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,T4_NGSPRI,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,T4_LPGPRI,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,T4_DSLHEA,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,T4_HYDHEA,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,T4_ELEHEA,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,T4_GSLHEA,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,T4_LPGHEA,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,T4_DSLMED,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,T4_NGSMED,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,T4_HYDMED,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,T4_ELEMED,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,T4_GSLMED,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,T4_LPGMED,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,T4_DSLLIG,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,T4_NGSLIG,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,T4_ELELIG,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,T4_GSLLIG,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,T4_LPGLIG,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,ELE_TRANS,,,,,,,,,,31.536
CapacityToActivityUnit,PA,ECU,ELE_DISTR,,,,,,,,,,31.536
CapacityToActivityUnit,PA,ECU,REFCRU,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,REFCRUDSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,REFCRUGSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,REFCRULPG,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,REFCRUFOI,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,REFCRUKJF,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,REFCRUCOK,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,REFNONENE,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,REFCRURED,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,CENGASPRO,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,CENGASGSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,CENGASLPG,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,NGS_DISTR,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,PP_BGSICE,,,,,,,,,,31.536
CapacityToActivityUnit,PA,ECU,PP_CHP,,,,,,,,,,31.536
CapacityToActivityUnit,PA,ECU,PP_SUG,,,,,,,,,,31.536
CapacityToActivityUnit,PA,ECU,PP_BMSTST,,,,,,,,,,31.536
CapacityToActivityUnit,PA,ECU,PP_COA,,,,,,,,,,31.536
CapacityToActivityUnit,PA,ECU,PP_FOIICE,,,,,,,,,,31.536
CapacityToActivityUnit,PA,ECU,PP_FOITST,,,,,,,,,,31.536
CapacityToActivityUnit,PA,ECU,PP_DSLICE,,,,,,,,,,31.536
CapacityToActivityUnit,PA,ECU,PP_DSLTGS,,,,,,,,,,31.536
CapacityToActivityUnit,PA,ECU,PP_NGSTGS,,,,,,,,,,31.536
CapacityToActivityUnit,PA,ECU,PP_CRU,,,,,,,,,,31.536
CapacityToActivityUnit,PA,ECU,PP_WASICE,,,,,,,,,,31.536
CapacityToActivityUnit,PA,ECU,PPIDSLGALICE,,,,,,,,,,31.536
CapacityToActivityUnit,PA,ECU,PPIDSLELRICE,,,,,,,,,,31.536
CapacityToActivityUnit,PA,ECU,PPIDSLELRTST,,,,,,,,,,31.536
CapacityToActivityUnit,PA,ECU,PPIDSLCEMTST,,,,,,,,,,31.536
CapacityToActivityUnit,PA,ECU,PPICRUPETICE,,,,,,,,,,31.536
CapacityToActivityUnit,PA,ECU,PPICRUPETTST,,,,,,,,,,31.536
CapacityToActivityUnit,PA,ECU,PPIDSLPETTGS,,,,,,,,,,31.536
CapacityToActivityUnit,PA,ECU,PPIDSLPETICE,,,,,,,,,,31.536
CapacityToActivityUnit,PA,ECU,PPINGSPETTST,,,,,,,,,,31.536
CapacityToActivityUnit,PA,ECU,PPINGSPETICE,,,,,,,,,,31.536
CapacityToActivityUnit,PA,ECU,PPINGSPETTGS,,,,,,,,,,31.536
CapacityToActivityUnit,PA,ECU,PROBIODSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,BLEND_DSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,PROETA,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,BLEND_GSL,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,HYDPROELEISO,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,HYDPROELEGRI,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,HYDPROBIO,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,HYDPRONGS,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,HYD_DISTR,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,PPIFOIPETICE,,,,,,,,,,31.536
CapacityToActivityUnit,PA,ECU,TRNCRU,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,RSVNGS,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,RSVCRU,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,PROWAS,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,PROSUG,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,PRONGS,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,PROFIR,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,PROCRU,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,PROBMS,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,PROBGS,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,PROACG,,,,,,,,,,1.0
CapacityToActivityUnit,PA,ECU,PPIWNDGAL,,,,,,,,,,31.536
CapacityToActivityUnit,PA,ECU,PPISPVGAL,,,,,,,,,,31.536
CapacityToActivityUnit,PA,ECU,PPISPVELR,,,,,,,,,,31.536
CapacityToActivityUnit,PA,ECU,PPIHYDPACELR,,,,,,,,,,31.536
CapacityToActivityUnit,PA,ECU,PPIHYDPACCEM,,,,,,,,,,31.536
CapacityToActivityUnit,PA,ECU,PPIHYDAMAELR,,,,,,,,,,31.536
CapacityToActivityUnit,PA,ECU,PPIHYDAMACEM,,,,,,,,,,31.536
CapacityToActivityUnit,PA,ECU,PP_WND_US_H2,,,,,,,,,,31.536
CapacityToActivityUnit,PA,ECU,PP_WND_US,,,,,,,,,,31.536
CapacityToActivityUnit,PA,ECU,PP_WND_OF_H2,,,,,,,,,,31.536
CapacityToActivityUnit,PA,ECU,PP_WND_OF,,,,,,,,,,31.536
CapacityToActivityUnit,PA,ECU,PP_SPV_US_H2,,,,,,,,,,31.536
