PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,PA,ECU,TRNMIC,,,,,,,,,,1.0
OperationalLife,PA,ECU,TRNBUS,,,,,,,,,,1.0
OperationalLife,PA,ECU,TRNTAX,,,,,,,,,,1.0
OperationalLife,PA,ECU,TRNPASRAI,,,,,,,,,,1.0
OperationalLife,PA,ECU,TRNMOT,,,,,,,,,,1.0
OperationalLife,PA,ECU,TRNSED,,,,,,,,,,1.0
OperationalLife,PA,ECU,TRNSUV,,,,,,,,,,1.0
OperationalLife,PA,ECU,TRNCAM,,,,,,,,,,1.0
OperationalLife,PA,ECU,TRNFREHEA,,,,,,,,,,1.0
OperationalLife,PA,ECU,TRNFREMED,,,,,,,,,,1.0
OperationalLife,PA,ECU,TRNFRELIG,,,,,,,,,,1.0
OperationalLife,PA,ECU,TRNCATTRU,,,,,,,,,,1.0
OperationalLife,PA,ECU,TRNFRERAI,,,,,,,,,,1.0
OperationalLife,PA,ECU,TRNMICHYBDSL,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNMICGSL,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNMICHYD,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNMICELE,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNMICDSL,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNMICLPG,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNBUSHYBDSL,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNBUSNGV,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNBUSHYD,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNBUSELE,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNBUSDSL,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNBUSLPG,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNTAXHYBDSL,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNTAXELE,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNTAXDSL,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNTAXHYBGSL,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNTAXGSL,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNTAXLPG,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNPASRAIHYD,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNPASRAIELE,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNPASRAIDSL,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNMOTELE,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNMOTGSL,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNSEDELE,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNSEDDSL,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNSEDHYBGSL,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNSEDGSL,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNSEDLPG,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNSUVHYBDSL,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNSUVNGV,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNSUVELE,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNSUVDSL,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNSUVHYBGSL,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNSUVGSL,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNSUVLPG,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNCAMHYBDSL,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNCAMNGV,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNCAMELE,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNCAMDSL,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNCAMHYBGSL,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNCAMGSL,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNCAMLPG,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNFREHEAHYBDSL,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNFREHEAHYD,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNFREHEAELE,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNFREHEADSL,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNFREHEAGSL,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNFREHEALPG,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNFREMEDHYBDSL,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNFREMEDNGV,,,,,,,,,,16.0
OperationalLife,PA,ECU,TRNFREMEDHYD,,,,,,,,,,16.0
