PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
YearSplit,PA,,,,,,2018,All,,,,,1
YearSplit,PA,,,,,,2019,All,,,,,1
YearSplit,PA,,,,,,2020,All,,,,,1
YearSplit,PA,,,,,,2021,All,,,,,1
YearSplit,PA,,,,,,2022,All,,,,,1
YearSplit,PA,,,,,,2023,All,,,,,1
YearSplit,PA,,,,,,2024,All,,,,,1
YearSplit,PA,,,,,,2025,All,,,,,1
YearSplit,PA,,,,,,2026,All,,,,,1
YearSplit,PA,,,,,,2027,All,,,,,1
YearSplit,PA,,,,,,2028,All,,,,,1
YearSplit,PA,,,,,,2029,All,,,,,1
YearSplit,PA,,,,,,2030,All,,,,,1
YearSplit,PA,,,,,,2031,All,,,,,1
YearSplit,PA,,,,,,2032,All,,,,,1
YearSplit,PA,,,,,,2033,All,,,,,1
YearSplit,PA,,,,,,2034,All,,,,,1
YearSplit,PA,,,,,,2035,All,,,,,1
YearSplit,PA,,,,,,2036,All,,,,,1
YearSplit,PA,,,,,,2037,All,,,,,1
YearSplit,PA,,,,,,2038,All,,,,,1
YearSplit,PA,,,,,,2039,All,,,,,1
YearSplit,PA,,,,,,2040,All,,,,,1
YearSplit,PA,,,,,,2041,All,,,,,1
YearSplit,PA,,,,,,2042,All,,,,,1
YearSplit,PA,,,,,,2043,All,,,,,1
YearSplit,PA,,,,,,2044,All,,,,,1
YearSplit,PA,,,,,,2045,All,,,,,1
YearSplit,PA,,,,,,2046,All,,,,,1
YearSplit,PA,,,,,,2047,All,,,,,1
YearSplit,PA,,,,,,2048,All,,,,,1
YearSplit,PA,,,,,,2049,All,,,,,1
YearSplit,PA,,,,,,2050,All,,,,,1
YearSplit,PA,,,,,,2051,All,,,,,1
YearSplit,PA,,,,,,2052,All,,,,,1
YearSplit,PA,,,,,,2053,All,,,,,1
YearSplit,PA,,,,,,2054,All,,,,,1
YearSplit,PA,,,,,,2055,All,,,,,1
YearSplit,PA,,,,,,2056,All,,,,,1
YearSplit,PA,,,,,,2057,All,,,,,1
YearSplit,PA,,,,,,2058,All,,,,,1
YearSplit,PA,,,,,,2059,All,,,,,1
YearSplit,PA,,,,,,2060,All,,,,,1
YearSplit,PA,,,,,,2061,All,,,,,1
YearSplit,PA,,,,,,2062,All,,,,,1
YearSplit,PA,,,,,,2063,All,,,,,1
YearSplit,PA,,,,,,2064,All,,,,,1
YearSplit,PA,,,,,,2065,All,,,,,1
YearSplit,PA,,,,,,2066,All,,,,,1
YearSplit,PA,,,,,,2067,All,,,,,1
YearSplit,PA,,,,,,2068,All,,,,,1
YearSplit,PA,,,,,,2069,All,,,,,1
YearSplit,PA,,,,,,2070,All,,,,,1
