Future.ID,Strategy.ID,Strategy,Fuel,Technology,Emission,Season,Year,SpecifiedAnnualDemand,CapacityFactor,OperationalLife,ResidualCapacity,InputActivityRatio,OutputActivityRatio,EmissionActivityRatio,CapitalCost,VariableCost,FixedCost,TotalAnnualMaxCapacity,TotalAnnualMinCapacity,TotalAnnualMaxCapacityInvestment,TotalAnnualMinCapacityInvestment,TotalTechnologyAnnualActivityUpperLimit,TotalTechnologyAnnualActivityLowerLimit,DistanceDriven,UnitCapitalCost (USD),UnitFixedCost (USD),BiofuelShares,FilterFuelType,FilterVehicleType
0,0,BAU,DEMTRNPASPUB,,,,2018,115.66960657,,,,,,,,,,,,,,,,,,,,,
0,0,BAU,DEMTRNPASPUB,,,,2019,115.7274,,,,,,,,,,,,,,,,,,,,,
0,0,BAU,DEMTRNPASPUB,,,,2020,106.715,,,,,,,,,,,,,,,,,,,,,
0,0,BAU,DEMTRNPASPUB,,,,2021,115.0256,,,,,,,,,,,,,,,,,,,,,
0,0,BAU,DEMTRNPASPUB,,,,2022,116.5643,,,,,,,,,,,,,,,,,,,,,
0,0,BAU,DEMTRNPASPUB,,,,2023,118.0973,,,,,,,,,,,,,,,,,,,,,
0,0,BAU,DEMTRNPASPUB,,,,2024,119.6162,,,,,,,,,,,,,,,,,,,,,
0,0,BAU,DEMTRNPASPUB,,,,2025,121.1208,,,,,,,,,,,,,,,,,,,,,
0,0,BAU,DEMTRNPASPUB,,,,2026,122.6093,,,,,,,,,,,,,,,,,,,,,
0,0,BAU,DEMTRNPASPUB,,,,2027,124.0811,,,,,,,,,,,,,,,,,,,,,
0,0,BAU,DEMTRNPASPUB,,,,2028,125.5353,,,,,,,,,,,,,,,,,,,,,
0,0,BAU,DEMTRNPASPUB,,,,2029,126.9715,,,,,,,,,,,,,,,,,,,,,
0,0,BAU,DEMTRNPASPUB,,,,2030,128.3883,,,,,,,,,,,,,,,,,,,,,
0,0,BAU,DEMTRNPASPUB,,,,2031,129.7848,,,,,,,,,,,,,,,,,,,,,
0,0,BAU,DEMTRNPASPUB,,,,2032,131.16,,,,,,,,,,,,,,,,,,,,,
0,0,BAU,DEMTRNPASPUB,,,,2033,132.5129,,,,,,,,,,,,,,,,,,,,,
0,0,BAU,DEMTRNPASPUB,,,,2034,133.8428,,,,,,,,,,,,,,,,,,,,,
0,0,BAU,DEMTRNPASPUB,,,,2035,135.1488,,,,,,,,,,,,,,,,,,,,,
0,0,BAU,DEMTRNPASPUB,,,,2036,136.4303,,,,,,,,,,,,,,,,,,,,,
0,0,BAU,DEMTRNPASPUB,,,,2037,137.6863,,,,,,,,,,,,,,,,,,,,,
0,0,BAU,DEMTRNPASPUB,,,,2038,138.9162,,,,,,,,,,,,,,,,,,,,,
0,0,BAU,DEMTRNPASPUB,,,,2039,140.1194,,,,,,,,,,,,,,,,,,,,,
0,0,BAU,DEMTRNPASPUB,,,,2040,141.2951,,,,,,,,,,,,,,,,,,,,,
