Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,OperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2023,FixedOpex2023,VarOpex2023,Opex2023,Externalities2023,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
DDP70,0,E5_AGRELE,,,2023,0.0396,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2024,0.0806,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2025,0.1234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2026,0.1839,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2027,0.2475,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2028,0.3119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2029,0.3752,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2030,0.4397,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2031,0.5081,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2032,0.5741,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2033,0.6431,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2034,0.7098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2035,0.778,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2036,0.8327,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2037,0.8873,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2038,0.9436,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2039,1.0049,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2040,1.0662,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2041,1.1157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2042,1.1661,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2043,1.2163,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2044,1.2722,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2045,1.329,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2046,1.3902,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2047,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2048,1.5107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2049,1.5754,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2050,1.6327,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2051,1.6959,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2052,1.7494,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2053,1.8087,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2054,1.8685,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2055,1.9324,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2056,1.9961,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2057,2.0647,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2058,2.1311,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2059,2.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2060,2.2733,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2061,2.3386,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2062,2.4056,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2063,2.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2064,2.5462,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,E5_AGRELE,,,2065,2.6167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
