Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,OperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2023,FixedOpex2023,VarOpex2023,Opex2023,Externalities2023,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
PA,0,E5_AGRPURGSL,,,2018,4.76308,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,0,E5_AGRPURGSL,,,2019,5.21402,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,0,E5_AGRPURGSL,,,2020,4.84324,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,0,E5_AGRPURGSL,,,2021,5.41021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,0,E5_AGRPURGSL,,,2022,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,0,E5_AGRPURGSL,,,2023,5.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,0,E5_AGRPURGSL,,,2024,5.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,0,E5_AGRPURGSL,,,2025,6.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,0,E5_AGRPURGSL,,,2026,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,0,E5_AGRPURGSL,,,2027,6.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,0,E5_AGRPURGSL,,,2028,6.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,0,E5_AGRPURGSL,,,2029,6.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,0,E5_AGRPURGSL,,,2030,6.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,0,E5_AGRPURGSL,,,2031,6.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,0,E5_AGRPURGSL,,,2032,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,0,E5_AGRPURGSL,,,2033,7.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
