PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2018,,,,,,115.66960657
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2019,,,,,,115.7274
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2020,,,,,,106.715
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2021,,,,,,115.0256
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2022,,,,,,116.5643
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2023,,,,,,118.0973
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2024,,,,,,119.6162
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2025,,,,,,121.1208
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2026,,,,,,122.6093
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2027,,,,,,124.0811
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2028,,,,,,125.5353
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2029,,,,,,126.9715
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2030,,,,,,128.3883
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2031,,,,,,129.7848
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2032,,,,,,131.16
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2033,,,,,,132.5129
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2034,,,,,,133.8428
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2035,,,,,,135.1488
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2036,,,,,,136.4303
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2037,,,,,,137.6863
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2038,,,,,,138.9162
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2039,,,,,,140.1194
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2040,,,,,,141.2951
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2041,,,,,,142.4433
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2042,,,,,,143.5636
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2043,,,,,,144.6553
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2044,,,,,,145.7182
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2045,,,,,,146.7517
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2046,,,,,,147.7555
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2047,,,,,,148.7299
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2048,,,,,,149.6739
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2049,,,,,,150.5879
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2050,,,,,,151.4722
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2051,,,,,,152.3296
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2052,,,,,,153.1527
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2053,,,,,,153.9442
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2054,,,,,,154.7038
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2055,,,,,,155.4308
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2056,,,,,,156.1248
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2057,,,,,,156.7853
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2058,,,,,,157.4118
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2059,,,,,,158.0039
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2060,,,,,,158.5612
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2061,,,,,,159.0832
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2062,,,,,,159.5697
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2063,,,,,,160.0202
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2064,,,,,,160.4345
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2065,,,,,,160.8122
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2066,,,,,,161.1531
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2067,,,,,,161.4569
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2068,,,,,,161.7234
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2069,,,,,,161.9525
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPUB,,,2070,,,,,,162.1438
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPRI,,,2018,,,,,,37.118518615
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPRI,,,2019,,,,,,37.1371
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPRI,,,2020,,,,,,34.245
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPRI,,,2021,,,,,,36.9119
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPRI,,,2022,,,,,,37.4056
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPRI,,,2023,,,,,,37.8976
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPRI,,,2024,,,,,,38.385
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPRI,,,2025,,,,,,38.8678
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPRI,,,2026,,,,,,39.3455
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPRI,,,2027,,,,,,39.8178
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPRI,,,2028,,,,,,40.2844
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPRI,,,2029,,,,,,40.7453
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPRI,,,2030,,,,,,41.2
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPRI,,,2031,,,,,,41.6481
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPRI,,,2032,,,,,,42.0894
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPRI,,,2033,,,,,,42.5235
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPRI,,,2034,,,,,,42.9503
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPRI,,,2035,,,,,,43.3694
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPRI,,,2036,,,,,,43.7807
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPRI,,,2037,,,,,,44.1837
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPRI,,,2038,,,,,,44.5784
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPRI,,,2039,,,,,,44.9645
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPRI,,,2040,,,,,,45.3418
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPRI,,,2041,,,,,,45.7102
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPRI,,,2042,,,,,,46.0697
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPRI,,,2043,,,,,,46.4201
SpecifiedAnnualDemand,BAU,ECU,,DEMTRNPASPRI,,,2044,,,,,,46.7612
