PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,TRNMIC,,,,2018,,,,,,1.1601
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,TRNMIC,,,,2019,,,,,,1.1602
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,TRNMIC,,,,2020,,,,,,1.0698
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,TRNMIC,,,,2021,,,,,,1.1531
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,TRNMIC,,,,2022,,,,,,1.1686
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,TRNMIC,,,,2023,,,,,,1.1839
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,TRNMIC,,,,2024,,,,,,1.1992
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,TRNMIC,,,,2025,,,,,,1.2142
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,TRNMIC,,,,2026,,,,,,1.2292
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,TRNMIC,,,,2027,,,,,,1.2439
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,TRNMIC,,,,2028,,,,,,1.2585
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,TRNMIC,,,,2029,,,,,,1.2729
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,TRNMIC,,,,2030,,,,,,1.2871
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,TRNMIC,,,,2031,,,,,,1.3011
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,TRNMIC,,,,2032,,,,,,1.3149
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,TRNMIC,,,,2033,,,,,,1.3284
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,TRNMIC,,,,2034,,,,,,1.3418
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,TRNMIC,,,,2035,,,,,,1.3549
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,TRNMIC,,,,2036,,,,,,1.3677
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,TRNMIC,,,,2037,,,,,,1.3803
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,TRNMIC,,,,2038,,,,,,1.3926
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,TRNMIC,,,,2039,,,,,,1.4047
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,TRNMIC,,,,2040,,,,,,1.4165
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,TRNMIC,,,,2041,,,,,,1.428
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,TRNMIC,,,,2042,,,,,,1.4392
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,TRNMIC,,,,2043,,,,,,1.4502
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,TRNMIC,,,,2044,,,,,,1.4608
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,TRNMIC,,,,2045,,,,,,1.4712
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,TRNMIC,,,,2046,,,,,,1.4812
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,TRNMIC,,,,2047,,,,,,1.491
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,TRNMIC,,,,2048,,,,,,1.5005
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,TRNMIC,,,,2049,,,,,,1.5096
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,TRNMIC,,,,2050,,,,,,1.5185
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,TRNMIC,,,,2051,,,,,,1.5271
