PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2018,,,,,,1.1602
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2019,,,,,,1.1603
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2020,,,,,,1.1603
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2021,,,,,,1.1603
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2022,,,,,,1.1687
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2023,,,,,,1.184
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2024,,,,,,1.1993
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2025,,,,,,1.2143
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2026,,,,,,1.2293
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2027,,,,,,1.244
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2028,,,,,,1.2586
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2029,,,,,,1.273
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2030,,,,,,1.2872
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2031,,,,,,1.3012
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2032,,,,,,1.315
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2033,,,,,,1.3285
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2034,,,,,,1.3419
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2035,,,,,,1.355
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2036,,,,,,1.3678
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2037,,,,,,1.3804
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2038,,,,,,1.3927
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2039,,,,,,1.4048
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2040,,,,,,1.4166
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2041,,,,,,1.4281
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2042,,,,,,1.4393
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2043,,,,,,1.4503
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2044,,,,,,1.4609
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2045,,,,,,1.4713
TotalAnnualMaxCapacity,BAU,ECU,TRNMIC,,,,2046,,,,,,1.4813
