PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2018,,,,,,115.6699
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2019,,,,,,115.7271
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2020,,,,,,106.715
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2021,,,,,,114.8745
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2022,,,,,,116.5641
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2023,,,,,,116.8101
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2024,,,,,,119.065
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2025,,,,,,120.7564
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2026,,,,,,122.1255
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2027,,,,,,123.4756
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2028,,,,,,124.8043
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2029,,,,,,126.1125
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2030,,,,,,127.3988
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2031,,,,,,128.564
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2032,,,,,,129.7037
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2033,,,,,,130.8161
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2034,,,,,,131.9013
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2035,,,,,,132.958
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2036,,,,,,133.9861
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2037,,,,,,134.984
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2038,,,,,,135.9521
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2039,,,,,,136.8894
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2040,,,,,,137.7951
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2041,,,,,,138.6391
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2042,,,,,,139.452
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2043,,,,,,140.2321
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2044,,,,,,140.9792
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2045,,,,,,141.6943
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2046,,,,,,142.3765
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2047,,,,,,143.0252
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2048,,,,,,143.6412
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2049,,,,,,144.2253
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2050,,,,,,144.7761
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2051,,,,,,145.6012
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2052,,,,,,146.3941
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2053,,,,,,147.1561
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2054,,,,,,147.8889
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2055,,,,,,148.5891
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2056,,,,,,149.2589
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2057,,,,,,149.8961
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2058,,,,,,150.5011
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2059,,,,,,151.0738
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2060,,,,,,151.6122
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2061,,,,,,152.1179
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2062,,,,,,152.5889
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2063,,,,,,153.026
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2064,,,,,,153.4281
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2065,,,,,,153.7952
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2066,,,,,,154.1273
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2067,,,,,,154.4241
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2068,,,,,,154.6851
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2069,,,,,,154.9109
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPUB,,,2070,,,,,,155.1001
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2018,,,,,,37.1186
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2019,,,,,,37.137
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2020,,,,,,34.245
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2021,,,,,,36.8634
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2022,,,,,,37.4055
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2023,,,,,,37.4845
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2024,,,,,,38.0811
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2025,,,,,,38.493
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2026,,,,,,38.799
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2027,,,,,,39.0956
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2028,,,,,,39.3825
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2029,,,,,,39.6599
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2030,,,,,,39.9275
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2031,,,,,,40.2132
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2032,,,,,,40.4894
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2033,,,,,,40.7553
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2034,,,,,,41.0113
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2035,,,,,,41.2569
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2036,,,,,,41.4919
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2037,,,,,,41.7162
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2038,,,,,,41.9297
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2039,,,,,,42.1323
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2040,,,,,,42.3238
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2041,,,,,,42.7033
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2042,,,,,,43.0749
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2043,,,,,,43.4385
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2044,,,,,,43.7934
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2045,,,,,,44.1401
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2046,,,,,,44.4782
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2047,,,,,,44.8075
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2048,,,,,,45.1279
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2049,,,,,,45.4399
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2050,,,,,,45.743
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2051,,,,,,45.9261
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2052,,,,,,46.0984
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2053,,,,,,46.2601
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2054,,,,,,46.4118
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2055,,,,,,46.5525
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2056,,,,,,46.6831
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2057,,,,,,46.8027
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2058,,,,,,46.9117
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2059,,,,,,47.01
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2060,,,,,,47.097
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2061,,,,,,47.2237
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2062,,,,,,47.3393
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2063,,,,,,47.4442
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2064,,,,,,47.5382
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2065,,,,,,47.6212
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2066,,,,,,47.6931
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2067,,,,,,47.7541
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2068,,,,,,47.8038
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2069,,,,,,47.8426
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNPASPRI,,,2070,,,,,,47.8701
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2018,,,,,,58.9613
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2019,,,,,,59.6449
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2020,,,,,,50.8875
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2021,,,,,,57.5548
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2022,,,,,,58.6537
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2023,,,,,,60.6764
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2024,,,,,,62.4773
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2025,,,,,,64.1972
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2026,,,,,,65.9442
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2027,,,,,,67.9014
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2028,,,,,,69.828
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2029,,,,,,71.5536
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2030,,,,,,73.3954
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2031,,,,,,75.4648
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2032,,,,,,77.5463
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2033,,,,,,79.6102
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2034,,,,,,81.6011
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2035,,,,,,83.5741
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2036,,,,,,85.6165
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2037,,,,,,87.6405
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2038,,,,,,89.7272
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2039,,,,,,91.8993
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2040,,,,,,94.0541
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2041,,,,,,96.1914
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2042,,,,,,98.2374
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2043,,,,,,100.187
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2044,,,,,,102.1966
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2045,,,,,,104.2956
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2046,,,,,,106.4594
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2047,,,,,,108.5281
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2048,,,,,,110.5022
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2049,,,,,,112.5094
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2050,,,,,,114.4846
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2051,,,,,,116.7174
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2052,,,,,,119.077
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2053,,,,,,121.3418
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2054,,,,,,123.7164
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2055,,,,,,126.0642
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2056,,,,,,128.5101
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2057,,,,,,130.931
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2058,,,,,,133.4235
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2059,,,,,,135.9015
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2060,,,,,,138.4958
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2061,,,,,,141.0912
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2062,,,,,,143.7968
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2063,,,,,,146.5504
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2064,,,,,,149.3424
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2065,,,,,,152.1882
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2066,,,,,,155.081
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2067,,,,,,158.0292
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2068,,,,,,161.0278
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2069,,,,,,164.0854
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREHEA,,,2070,,,,,,167.2003
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREMED,,,2018,,,,,,13.7548
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREMED,,,2019,,,,,,13.9143
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREMED,,,2020,,,,,,11.8713
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREMED,,,2021,,,,,,13.4267
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREMED,,,2022,,,,,,13.6831
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREMED,,,2023,,,,,,14.1549
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREMED,,,2024,,,,,,14.575
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREMED,,,2025,,,,,,14.9763
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREMED,,,2026,,,,,,15.3838
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREMED,,,2027,,,,,,15.8404
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREMED,,,2028,,,,,,16.2899
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREMED,,,2029,,,,,,16.6924
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREMED,,,2030,,,,,,17.1221
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREMED,,,2031,,,,,,17.6049
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREMED,,,2032,,,,,,18.0904
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREMED,,,2033,,,,,,18.5719
SpecifiedAnnualDemand,DDP,ECU,,DEMTRNFREMED,,,2034,,,,,,19.0363
