PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2018,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2019,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2020,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2021,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2022,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2023,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2024,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2025,,,,,,0.005
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2026,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2027,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2028,,,,,,0.05
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2029,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2030,,,,,,0.05
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2031,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2032,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2033,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2034,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2035,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2036,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2037,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2038,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2039,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2040,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2041,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2042,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2043,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2044,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2045,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2046,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2047,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2048,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2049,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2050,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2051,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2052,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2053,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2054,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2055,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2056,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2057,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2058,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2059,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2060,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2061,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2062,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2063,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2064,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2065,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2066,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2067,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2068,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2069,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_GEO,,,,2070,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_HYDAMADAMLAR,,,,2018,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_HYDAMADAMLAR,,,,2019,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_HYDAMADAMLAR,,,,2020,,,,,,0.0
TotalAnnualMinCapacityInvestment,DDP,ECU,PP_HYDAMADAMLAR,,,,2021,,,,,,0.0
