PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMinCapacityInvestment,DDP,ECU,ENE_TERM,,,,2018,,,,,,
TotalAnnualMinCapacityInvestment,DDP,ECU,ENE_TERM,,,,2019,,,,,,
TotalAnnualMinCapacityInvestment,DDP,ECU,ENE_TERM,,,,2020,,,,,,
TotalAnnualMinCapacityInvestment,DDP,ECU,ENE_TERM,,,,2021,,,,,,
TotalAnnualMinCapacityInvestment,DDP,ECU,ENE_TERM,,,,2022,,,,,,
TotalAnnualMinCapacityInvestment,DDP,ECU,ENE_TERM,,,,2023,,,,,,
TotalAnnualMinCapacityInvestment,DDP,ECU,ENE_TERM,,,,2024,,,,,,
TotalAnnualMinCapacityInvestment,DDP,ECU,ENE_TERM,,,,2025,,,,,,
TotalAnnualMinCapacityInvestment,DDP,ECU,ENE_TERM,,,,2026,,,,,,
TotalAnnualMinCapacityInvestment,DDP,ECU,ENE_TERM,,,,2027,,,,,,
TotalAnnualMinCapacityInvestment,DDP,ECU,ENE_TERM,,,,2028,,,,,,
TotalAnnualMinCapacityInvestment,DDP,ECU,ENE_TERM,,,,2029,,,,,,
TotalAnnualMinCapacityInvestment,DDP,ECU,ENE_TERM,,,,2030,,,,,,
TotalAnnualMinCapacityInvestment,DDP,ECU,ENE_TERM,,,,2031,,,,,,
TotalAnnualMinCapacityInvestment,DDP,ECU,ENE_TERM,,,,2032,,,,,,
TotalAnnualMinCapacityInvestment,DDP,ECU,ENE_TERM,,,,2033,,,,,,
TotalAnnualMinCapacityInvestment,DDP,ECU,ENE_TERM,,,,2034,,,,,,
TotalAnnualMinCapacityInvestment,DDP,ECU,ENE_TERM,,,,2035,,,,,,
TotalAnnualMinCapacityInvestment,DDP,ECU,ENE_TERM,,,,2036,,,,,,
TotalAnnualMinCapacityInvestment,DDP,ECU,ENE_TERM,,,,2037,,,,,,
TotalAnnualMinCapacityInvestment,DDP,ECU,ENE_TERM,,,,2038,,,,,,
TotalAnnualMinCapacityInvestment,DDP,ECU,ENE_TERM,,,,2039,,,,,,
TotalAnnualMinCapacityInvestment,DDP,ECU,ENE_TERM,,,,2040,,,,,,
TotalAnnualMinCapacityInvestment,DDP,ECU,ENE_TERM,,,,2041,,,,,,
TotalAnnualMinCapacityInvestment,DDP,ECU,ENE_TERM,,,,2042,,,,,,
TotalAnnualMinCapacityInvestment,DDP,ECU,ENE_TERM,,,,2043,,,,,,
