PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2018,,,,,,14.0
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2019,,,,,,14.0
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2020,,,,,,14.0
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2021,,,,,,14.8
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2022,,,,,,15.600000000000001
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2023,,,,,,16.400000000000002
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2024,,,,,,17.200000000000003
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2025,,,,,,18.0
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2026,,,,,,18.6
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2027,,,,,,19.200000000000003
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2028,,,,,,19.800000000000004
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2029,,,,,,20.400000000000006
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2030,,,,,,21.0
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2031,,,,,,21.6
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2032,,,,,,22.200000000000003
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2033,,,,,,22.800000000000004
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2034,,,,,,23.400000000000006
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2035,,,,,,24.0
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2036,,,,,,24.8
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2037,,,,,,25.6
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2038,,,,,,26.400000000000002
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2039,,,,,,27.200000000000003
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2040,,,,,,28.0
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2041,,,,,,28.4
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2042,,,,,,28.799999999999997
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2043,,,,,,29.199999999999996
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2044,,,,,,29.599999999999994
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2045,,,,,,30.0
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2046,,,,,,30.8
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2047,,,,,,31.6
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2048,,,,,,32.4
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2049,,,,,,33.199999999999996
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2050,,,,,,34.0
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2051,,,,,,34.0
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2052,,,,,,34.0
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2053,,,,,,34.0
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2054,,,,,,34.0
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2055,,,,,,34.0
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2056,,,,,,34.0
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2057,,,,,,34.0
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2058,,,,,,34.0
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2059,,,,,,34.0
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2060,,,,,,34.0
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2061,,,,,,34.0
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2062,,,,,,34.0
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2063,,,,,,34.0
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2064,,,,,,34.0
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2065,,,,,,34.0
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2066,,,,,,34.0
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2067,,,,,,34.0
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2068,,,,,,34.0
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2069,,,,,,34.0
EmissionsPenalty,BAU,ECU,,,CO2e_CEM,,2070,,,,,,34.0
