PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityFactor,DDP,ECU,ENE_TERM,,,,2018,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2019,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2020,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2021,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2022,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2023,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2024,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2025,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2026,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2027,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2028,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2029,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2030,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2031,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2032,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2033,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2034,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2035,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2036,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2037,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2038,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2039,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2040,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2041,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2042,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2043,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2044,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2045,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2046,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2047,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2048,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2049,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2050,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2051,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2052,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2053,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2054,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2055,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2056,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2057,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2058,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2059,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2060,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2061,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2062,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2063,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2064,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2065,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2066,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2067,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2068,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2069,All,,,,,
CapacityFactor,DDP,ECU,ENE_TERM,,,,2070,All,,,,,
CapacityFactor,DDP,ECU,RAW_MAT_CLK,,,,2018,All,,,,,
CapacityFactor,DDP,ECU,RAW_MAT_CLK,,,,2019,All,,,,,
CapacityFactor,DDP,ECU,RAW_MAT_CLK,,,,2020,All,,,,,
CapacityFactor,DDP,ECU,RAW_MAT_CLK,,,,2021,All,,,,,
CapacityFactor,DDP,ECU,RAW_MAT_CLK,,,,2022,All,,,,,
CapacityFactor,DDP,ECU,RAW_MAT_CLK,,,,2023,All,,,,,
CapacityFactor,DDP,ECU,RAW_MAT_CLK,,,,2024,All,,,,,
CapacityFactor,DDP,ECU,RAW_MAT_CLK,,,,2025,All,,,,,
