PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,BAU,Ecuador,Bosque,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Tierra_agropecuaria,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Pastizales,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Humedal,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Zona_atropica,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Otras_tierras,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Bosque_nativo_protegido,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Bosque_nativo_sinproteger,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Plantacion_forestal,,,,,,,,,,100
OperationalLife,BAU,Ecuador,Cultivos,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Banano,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Arroz,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Cacao,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Cafe,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Cana,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Maiz,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Palma,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Soya,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Palmito,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Legumbres,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Cereales,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Tuberculos,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Fruta,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Verduras,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Floricolas,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Otros_cultivos,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Dem_Banano,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Dem_Arroz,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Dem_Cacao,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Dem_Cafe,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Dem_Cana,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Dem_Maiz,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Dem_Palma,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Dem_Soya,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Dem_Palmito,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Dem_Legumbres,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Dem_Cereales,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Dem_Tuberculos,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Dem_Fruta,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Dem_Verduras,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Dem_Floricolas,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Exp_Banano,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Exp_Arroz,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Exp_Cacao,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Exp_Cafe,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Exp_Cana,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Exp_Maiz,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Exp_Palma,,,,,,,,,,1
OperationalLife,BAU,Ecuador,Exp_Soya,,,,,,,,,,1
