PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2018,,,,,,0.9039957463436927
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2019,,,,,,1.0167836738071294
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2020,,,,,,1.011344240545201
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2021,,,,,,1.0052955020264527
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2022,,,,,,1.1419741349872181
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2023,,,,,,1.3140327504644977
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2024,,,,,,1.4849061701169184
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2025,,,,,,1.6378537264451198
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2026,,,,,,1.6795695578727665
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2027,,,,,,1.7214960562844874
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2028,,,,,,1.7636320910579135
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2029,,,,,,1.8059786616860523
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2030,,,,,,1.8485373555423221
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2031,,,,,,1.8912962885301399
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2032,,,,,,1.9342791198589682
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2033,,,,,,1.9774765997905748
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2034,,,,,,2.020889197732248
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2035,,,,,,2.0645180859019563
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2036,,,,,,2.10836420551398
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2037,,,,,,2.152431160380387
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2038,,,,,,2.196718228099976
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2039,,,,,,2.241226631286094
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2040,,,,,,2.285957307516191
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2041,,,,,,2.330911676390115
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2042,,,,,,2.376091056132876
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2043,,,,,,2.421495942880166
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2044,,,,,,2.4671281198066604
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2045,,,,,,2.5129882443237053
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2046,,,,,,2.5590780128498194
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2047,,,,,,2.605397965441232
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2048,,,,,,2.65194947511469
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2049,,,,,,2.6987337778271643
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2050,,,,,,2.745752008561195
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2051,,,,,,2.7930055157198472
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2052,,,,,,2.840495144430771
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2053,,,,,,2.8882222104950985
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2054,,,,,,2.936187950423345
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2055,,,,,,2.984393526597308
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2056,,,,,,3.032840165015597
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2057,,,,,,3.08152898073572
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2058,,,,,,3.1304612466980464
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2059,,,,,,3.1796381803255853
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2060,,,,,,3.2290609980967657
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2061,,,,,,3.2787309227938293
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2062,,,,,,3.328649193750869
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2063,,,,,,3.378817054245773
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2064,,,,,,3.429235752559067
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2065,,,,,,3.4799065384318313
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2066,,,,,,3.5308306718529883
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2067,,,,,,3.5820094173702577
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2068,,,,,,3.6334440510247967
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2069,,,,,,3.685135851026721
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2070,,,,,,3.737086102015563
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2018,,,,,,1.31871490227
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2019,,,,,,1.07088863178
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2020,,,,,,1.293475982486
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2021,,,,,,1.4857295651099998
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2022,,,,,,1.5265421513867523
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2023,,,,,,1.5753735711035755
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2024,,,,,,1.619954456551946
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2025,,,,,,1.6649008781634724
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2026,,,,,,1.700062904915689
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2027,,,,,,1.7537283007026254
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2028,,,,,,1.8029776131710982
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2029,,,,,,1.8419788264829091
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2030,,,,,,1.884955438396437
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2031,,,,,,1.9441343202776291
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2032,,,,,,1.991208697808794
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2033,,,,,,2.0477207977415817
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2034,,,,,,2.094967721099316
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2035,,,,,,2.143165701780082
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2036,,,,,,2.1969512365980473
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2037,,,,,,2.2457511023552152
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2038,,,,,,2.2970300031721833
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2039,,,,,,2.3536851820237987
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2040,,,,,,2.4053950771304757
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2041,,,,,,2.4587766539328997
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2042,,,,,,2.511836717093043
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2043,,,,,,2.55394066558874
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2044,,,,,,2.6082607620176055
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2045,,,,,,2.655066230146674
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2046,,,,,,2.7139435265496132
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2047,,,,,,2.762030226039511
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2048,,,,,,2.8092277631534235
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2049,,,,,,2.858376465058366
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2050,,,,,,2.9078229892238228
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2051,,,,,,2.966390473442376
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2052,,,,,,3.0197346484889045
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2053,,,,,,3.073099115220959
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2054,,,,,,3.128188918604157
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2055,,,,,,3.1837967841733175
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2056,,,,,,3.2409387555035996
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2057,,,,,,3.2962874176646992
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2058,,,,,,3.3521660505068698
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2059,,,,,,3.408553771823975
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2060,,,,,,3.465195018697804
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2061,,,,,,3.5218518782823907
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2062,,,,,,3.578670874495717
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2063,,,,,,3.6357083627277116
