PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
VariableCost,BAU,Ecuador,Banano,,,1,2018,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2019,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2020,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2021,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2022,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2023,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2024,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2025,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2026,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2027,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2028,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2029,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2030,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2031,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2032,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2033,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2034,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2035,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2036,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2037,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2038,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2039,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2040,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2041,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2042,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2043,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2044,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2045,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2046,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2047,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2048,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2049,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2050,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2051,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2052,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2053,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2054,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2055,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2056,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2057,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2058,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2059,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2060,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2061,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2062,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2063,,,,,,1070.6998507642452
