PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
VariableCost,BAU,Ecuador,Banano,,,1,2018,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2019,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2020,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2021,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2022,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2023,,,,,,945.003777573633
VariableCost,BAU,Ecuador,Banano,,,1,2024,,,,,,942.7801666744759
VariableCost,BAU,Ecuador,Banano,,,1,2025,,,,,,940.5565557753187
VariableCost,BAU,Ecuador,Banano,,,1,2026,,,,,,938.3329448761615
VariableCost,BAU,Ecuador,Banano,,,1,2027,,,,,,936.1093339770044
VariableCost,BAU,Ecuador,Banano,,,1,2028,,,,,,933.8857230778473
VariableCost,BAU,Ecuador,Banano,,,1,2029,,,,,,931.6621121786901
VariableCost,BAU,Ecuador,Banano,,,1,2030,,,,,,929.4385012795328
VariableCost,BAU,Ecuador,Banano,,,1,2031,,,,,,927.2148903803758
VariableCost,BAU,Ecuador,Banano,,,1,2032,,,,,,924.9912794812187
VariableCost,BAU,Ecuador,Banano,,,1,2033,,,,,,922.7676685820613
VariableCost,BAU,Ecuador,Banano,,,1,2034,,,,,,920.5440576829043
VariableCost,BAU,Ecuador,Banano,,,1,2035,,,,,,918.3204467837471
VariableCost,BAU,Ecuador,Banano,,,1,2036,,,,,,916.0968358845901
VariableCost,BAU,Ecuador,Banano,,,1,2037,,,,,,913.8732249854329
VariableCost,BAU,Ecuador,Banano,,,1,2038,,,,,,911.6496140862756
VariableCost,BAU,Ecuador,Banano,,,1,2039,,,,,,909.4260031871186
VariableCost,BAU,Ecuador,Banano,,,1,2040,,,,,,907.2023922879615
VariableCost,BAU,Ecuador,Banano,,,1,2041,,,,,,904.9787813888041
VariableCost,BAU,Ecuador,Banano,,,1,2042,,,,,,902.7551704896471
VariableCost,BAU,Ecuador,Banano,,,1,2043,,,,,,900.5315595904899
VariableCost,BAU,Ecuador,Banano,,,1,2044,,,,,,898.3079486913327
VariableCost,BAU,Ecuador,Banano,,,1,2045,,,,,,896.0843377921757
VariableCost,BAU,Ecuador,Banano,,,1,2046,,,,,,893.8607268930184
VariableCost,BAU,Ecuador,Banano,,,1,2047,,,,,,891.6371159938614
VariableCost,BAU,Ecuador,Banano,,,1,2048,,,,,,889.4135050947042
VariableCost,BAU,Ecuador,Banano,,,1,2049,,,,,,887.189894195547
VariableCost,BAU,Ecuador,Banano,,,1,2050,,,,,,884.9662832963899
VariableCost,BAU,Ecuador,Banano,,,1,2051,,,,,,882.7426723972327
VariableCost,BAU,Ecuador,Banano,,,1,2052,,,,,,880.5190614980756
VariableCost,BAU,Ecuador,Banano,,,1,2053,,,,,,878.2954505989184
VariableCost,BAU,Ecuador,Banano,,,1,2054,,,,,,876.0718396997613
VariableCost,BAU,Ecuador,Banano,,,1,2055,,,,,,873.8482288006041
VariableCost,BAU,Ecuador,Banano,,,1,2056,,,,,,871.624617901447
VariableCost,BAU,Ecuador,Banano,,,1,2057,,,,,,869.4010070022899
VariableCost,BAU,Ecuador,Banano,,,1,2058,,,,,,867.1773961031328
VariableCost,BAU,Ecuador,Banano,,,1,2059,,,,,,864.9537852039755
VariableCost,BAU,Ecuador,Banano,,,1,2060,,,,,,862.7301743048184
VariableCost,BAU,Ecuador,Banano,,,1,2061,,,,,,860.5065634056613
VariableCost,BAU,Ecuador,Banano,,,1,2062,,,,,,858.2829525065041
VariableCost,BAU,Ecuador,Banano,,,1,2063,,,,,,856.0593416073469
VariableCost,BAU,Ecuador,Banano,,,1,2064,,,,,,853.8357307081898
