PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapitalCost,BAU,Ecuador,area_restaurada,,,,2018,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2019,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2020,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2021,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2022,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2023,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2024,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2025,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2026,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2027,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2028,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2029,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2030,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2031,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2032,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2033,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2034,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2035,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2036,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2037,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2038,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2039,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2040,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2041,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2042,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2043,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2044,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2045,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2046,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2047,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2048,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2049,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2050,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2051,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2052,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2053,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2054,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2055,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2056,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2057,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2058,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2059,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2060,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2061,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2062,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2063,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2064,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2065,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2066,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2067,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2068,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2069,,,,,,1485.709
CapitalCost,BAU,Ecuador,area_restaurada,,,,2070,,,,,,1485.709
