PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
EmissionsPenalty,BAU,Ecuador,,,belleza,,2018,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2019,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2020,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2021,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2022,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2023,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2024,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2025,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2026,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2027,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2028,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2029,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2030,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2031,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2032,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2033,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2034,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2035,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2036,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2037,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2038,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2039,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2040,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2041,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2042,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2043,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2044,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2045,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2046,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2047,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2048,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2049,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2050,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2051,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2052,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2053,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2054,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2055,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2056,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2057,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2058,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2059,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2060,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2061,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2062,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2063,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2064,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2065,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2066,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2067,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2068,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2069,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,belleza,,2070,,,,,,-54.30666666666666
EmissionsPenalty,BAU,Ecuador,,,regulacion_hidrica,,2018,,,,,,-20.06
EmissionsPenalty,BAU,Ecuador,,,regulacion_hidrica,,2019,,,,,,-20.06
EmissionsPenalty,BAU,Ecuador,,,regulacion_hidrica,,2020,,,,,,-20.06
EmissionsPenalty,BAU,Ecuador,,,regulacion_hidrica,,2021,,,,,,-20.06
EmissionsPenalty,BAU,Ecuador,,,regulacion_hidrica,,2022,,,,,,-20.06
EmissionsPenalty,BAU,Ecuador,,,regulacion_hidrica,,2023,,,,,,-20.06
EmissionsPenalty,BAU,Ecuador,,,regulacion_hidrica,,2024,,,,,,-20.06
EmissionsPenalty,BAU,Ecuador,,,regulacion_hidrica,,2025,,,,,,-20.06
EmissionsPenalty,BAU,Ecuador,,,regulacion_hidrica,,2026,,,,,,-20.06
EmissionsPenalty,BAU,Ecuador,,,regulacion_hidrica,,2027,,,,,,-20.06
EmissionsPenalty,BAU,Ecuador,,,regulacion_hidrica,,2028,,,,,,-20.06
EmissionsPenalty,BAU,Ecuador,,,regulacion_hidrica,,2029,,,,,,-20.06
EmissionsPenalty,BAU,Ecuador,,,regulacion_hidrica,,2030,,,,,,-20.06
EmissionsPenalty,BAU,Ecuador,,,regulacion_hidrica,,2031,,,,,,-20.06
EmissionsPenalty,BAU,Ecuador,,,regulacion_hidrica,,2032,,,,,,-20.06
EmissionsPenalty,BAU,Ecuador,,,regulacion_hidrica,,2033,,,,,,-20.06
EmissionsPenalty,BAU,Ecuador,,,regulacion_hidrica,,2034,,,,,,-20.06
EmissionsPenalty,BAU,Ecuador,,,regulacion_hidrica,,2035,,,,,,-20.06
EmissionsPenalty,BAU,Ecuador,,,regulacion_hidrica,,2036,,,,,,-20.06
EmissionsPenalty,BAU,Ecuador,,,regulacion_hidrica,,2037,,,,,,-20.06
EmissionsPenalty,BAU,Ecuador,,,regulacion_hidrica,,2038,,,,,,-20.06
EmissionsPenalty,BAU,Ecuador,,,regulacion_hidrica,,2039,,,,,,-20.06
EmissionsPenalty,BAU,Ecuador,,,regulacion_hidrica,,2040,,,,,,-20.06
EmissionsPenalty,BAU,Ecuador,,,regulacion_hidrica,,2041,,,,,,-20.06
EmissionsPenalty,BAU,Ecuador,,,regulacion_hidrica,,2042,,,,,,-20.06
EmissionsPenalty,BAU,Ecuador,,,regulacion_hidrica,,2043,,,,,,-20.06
EmissionsPenalty,BAU,Ecuador,,,regulacion_hidrica,,2044,,,,,,-20.06
EmissionsPenalty,BAU,Ecuador,,,regulacion_hidrica,,2045,,,,,,-20.06
