PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2018,,,,,,0.9039957463436927
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2019,,,,,,1.0167836738071294
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2020,,,,,,1.011344240545201
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2021,,,,,,1.0052955020264527
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2022,,,,,,1.1419741349872181
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2023,,,,,,1.3145846442196927
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2024,,,,,,1.485841661004092
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2025,,,,,,1.6392295235753336
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2026,,,,,,1.681333105908533
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2027,,,,,,1.68133837592186
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2028,,,,,,1.6813435781904387
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2029,,,,,,1.6813486640506765
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2030,,,,,,1.681354168539646
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2031,,,,,,1.6813471221055662
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2032,,,,,,1.681350164431005
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2033,,,,,,1.6813529569678627
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2034,,,,,,1.6813548928186117
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2035,,,,,,1.681356064066125
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2036,,,,,,1.6813563257231516
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2037,,,,,,1.6813581987809902
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2038,,,,,,1.681359859211173
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2039,,,,,,1.6813614283228988
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2040,,,,,,1.6813627358236944
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2041,,,,,,1.6813640897666202
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2042,,,,,,1.681365691052764
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2043,,,,,,1.6813669092468286
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2044,,,,,,1.6813684009953755
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2045,,,,,,1.6813696863812266
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2046,,,,,,1.6813713238426642
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2047,,,,,,1.6813727038736994
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2048,,,,,,1.681374048377509
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2049,,,,,,1.6813754357821606
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2050,,,,,,1.6813768371667885
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2051,,,,,,1.6813784324960066
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2052,,,,,,1.6813798894469647
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2053,,,,,,1.6813813433391713
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2054,,,,,,1.681382843817599
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2055,,,,,,1.6813843599322285
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2056,,,,,,1.6813859187820475
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2057,,,,,,1.681387429667951
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2058,,,,,,1.681388954852486
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2059,,,,,,1.6813904945857656
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2060,,,,,,1.6813920420300326
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2061,,,,,,1.6813935905308623
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2062,,,,,,1.6813951439227912
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2063,,,,,,1.681396703789983
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2064,,,,,,1.6813982705011137
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2065,,,,,,1.68139983960197
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2066,,,,,,1.6814014106492499
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2067,,,,,,1.6814029814391054
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2068,,,,,,1.681404554976555
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2069,,,,,,1.6814061300304521
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Banano,,,2070,,,,,,1.6814077054012264
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2018,,,,,,1.31871490227
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2019,,,,,,1.07088863178
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2020,,,,,,1.293475982486
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2021,,,,,,1.4857295651099998
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2022,,,,,,1.5265421513867523
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2023,,,,,,1.572077889592827
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2024,,,,,,1.614871039467286
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2025,,,,,,1.6579349328892365
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2026,,,,,,1.69117157592298
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2027,,,,,,1.7427219018874158
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2028,,,,,,1.7897762110874593
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2029,,,,,,1.8265651476629001
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2030,,,,,,1.867210467899373
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2031,,,,,,1.9237986752875251
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2032,,,,,,1.9682978505318058
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2033,,,,,,2.0220178062883294
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2034,,,,,,2.0664803500278075
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2035,,,,,,2.1117811832432145
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2036,,,,,,2.162481071695824
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2037,,,,,,2.208166211906198
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2038,,,,,,2.2561842156557756
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2039,,,,,,2.309369997416655
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2040,,,,,,2.357590255367585
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2041,,,,,,2.4073390463326234
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2042,,,,,,2.456661711765377
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2043,,,,,,2.495169382992212
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2044,,,,,,2.545511224604986
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2045,,,,,,2.5884134475050717
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2046,,,,,,2.6429739033303408
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2047,,,,,,2.68691405201214
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2048,,,,,,2.7298895526664446
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2049,,,,,,2.7746603351497363
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2050,,,,,,2.8196170866687074
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2051,,,,,,2.8733051403857544
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2052,,,,,,2.9218167327770033
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2053,,,,,,2.970236341636283
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2054,,,,,,3.0202100935117784
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2055,,,,,,3.0705682353409776
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2056,,,,,,3.122287987664613
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2057,,,,,,3.1721624186651174
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2058,,,,,,3.222430520020153
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2059,,,,,,3.2730705765015156
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2060,,,,,,3.323835853105046
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2061,,,,,,3.3744975956950554
SpecifiedAnnualDemand,BAU,Ecuador,,Dem_Arroz,,,2062,,,,,,3.4251959953720936
