PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
VariableCost,BAU,Ecuador,Banano,,,1,2018,,,,,,1422.0
VariableCost,BAU,Ecuador,Banano,,,1,2019,,,,,,1558.90284
VariableCost,BAU,Ecuador,Banano,,,1,2020,,,,,,1653.86076
VariableCost,BAU,Ecuador,Banano,,,1,2021,,,,,,1671.944775091292
VariableCost,BAU,Ecuador,Banano,,,1,2022,,,,,,1687.9233646379312
VariableCost,BAU,Ecuador,Banano,,,1,2023,,,,,,1696.5425419980143
VariableCost,BAU,Ecuador,Banano,,,1,2024,,,,,,1706.9540826307107
VariableCost,BAU,Ecuador,Banano,,,1,2025,,,,,,1715.1682730166067
VariableCost,BAU,Ecuador,Banano,,,1,2026,,,,,,1726.9305186182764
VariableCost,BAU,Ecuador,Banano,,,1,2027,,,,,,1736.605475249643
VariableCost,BAU,Ecuador,Banano,,,1,2028,,,,,,1740.9573394659785
VariableCost,BAU,Ecuador,Banano,,,1,2029,,,,,,1746.555857519701
VariableCost,BAU,Ecuador,Banano,,,1,2030,,,,,,1756.1112472814434
VariableCost,BAU,Ecuador,Banano,,,1,2031,,,,,,1761.1663869205458
VariableCost,BAU,Ecuador,Banano,,,1,2032,,,,,,1768.5765436985175
VariableCost,BAU,Ecuador,Banano,,,1,2033,,,,,,1772.728300376149
VariableCost,BAU,Ecuador,Banano,,,1,2034,,,,,,1777.1763768516585
VariableCost,BAU,Ecuador,Banano,,,1,2035,,,,,,1783.2026162642276
VariableCost,BAU,Ecuador,Banano,,,1,2036,,,,,,1788.2083260433915
VariableCost,BAU,Ecuador,Banano,,,1,2037,,,,,,1794.3926214746089
VariableCost,BAU,Ecuador,Banano,,,1,2038,,,,,,1802.8679306648983
VariableCost,BAU,Ecuador,Banano,,,1,2039,,,,,,1810.6252876103385
VariableCost,BAU,Ecuador,Banano,,,1,2040,,,,,,1819.735155204196
VariableCost,BAU,Ecuador,Banano,,,1,2041,,,,,,1829.4421598807953
VariableCost,BAU,Ecuador,Banano,,,1,2042,,,,,,1837.07511807205
VariableCost,BAU,Ecuador,Banano,,,1,2043,,,,,,1848.619889382727
VariableCost,BAU,Ecuador,Banano,,,1,2044,,,,,,1858.8850047456067
VariableCost,BAU,Ecuador,Banano,,,1,2045,,,,,,1872.8884056956667
VariableCost,BAU,Ecuador,Banano,,,1,2046,,,,,,1884.5015751808137
VariableCost,BAU,Ecuador,Banano,,,1,2047,,,,,,1896.1159855303808
VariableCost,BAU,Ecuador,Banano,,,1,2048,,,,,,1908.4710759412358
VariableCost,BAU,Ecuador,Banano,,,1,2049,,,,,,1920.793237633307
VariableCost,BAU,Ecuador,Banano,,,1,2050,,,,,,1916.0677913653185
VariableCost,BAU,Ecuador,Banano,,,1,2051,,,,,,1911.3423450973298
VariableCost,BAU,Ecuador,Banano,,,1,2052,,,,,,1906.616898829341
VariableCost,BAU,Ecuador,Banano,,,1,2053,,,,,,1901.8914525613523
VariableCost,BAU,Ecuador,Banano,,,1,2054,,,,,,1897.1660062933638
VariableCost,BAU,Ecuador,Banano,,,1,2055,,,,,,1892.440560025375
VariableCost,BAU,Ecuador,Banano,,,1,2056,,,,,,1887.715113757386
VariableCost,BAU,Ecuador,Banano,,,1,2057,,,,,,1882.9896674893976
VariableCost,BAU,Ecuador,Banano,,,1,2058,,,,,,1878.2642212214087
VariableCost,BAU,Ecuador,Banano,,,1,2059,,,,,,1873.53877495342
VariableCost,BAU,Ecuador,Banano,,,1,2060,,,,,,1868.8133286854313
VariableCost,BAU,Ecuador,Banano,,,1,2061,,,,,,1864.0878824174424
VariableCost,BAU,Ecuador,Banano,,,1,2062,,,,,,1859.3624361494537
VariableCost,BAU,Ecuador,Banano,,,1,2063,,,,,,1854.636989881465
VariableCost,BAU,Ecuador,Banano,,,1,2064,,,,,,1849.9115436134762
VariableCost,BAU,Ecuador,Banano,,,1,2065,,,,,,1845.1860973454877
VariableCost,BAU,Ecuador,Banano,,,1,2066,,,,,,1840.4606510774988
VariableCost,BAU,Ecuador,Banano,,,1,2067,,,,,,1835.7352048095104
VariableCost,BAU,Ecuador,Banano,,,1,2068,,,,,,1831.0097585415215
VariableCost,BAU,Ecuador,Banano,,,1,2069,,,,,,1826.2843122735328
VariableCost,BAU,Ecuador,Banano,,,1,2070,,,,,,1128.7476
VariableCost,BAU,Ecuador,Arroz,,,1,2018,,,,,,744.0
VariableCost,BAU,Ecuador,Arroz,,,1,2019,,,,,,752.5829920834977
VariableCost,BAU,Ecuador,Arroz,,,1,2020,,,,,,748.6877168972148
VariableCost,BAU,Ecuador,Arroz,,,1,2021,,,,,,751.4912468640911
VariableCost,BAU,Ecuador,Arroz,,,1,2022,,,,,,753.968376771154
VariableCost,BAU,Ecuador,Arroz,,,1,2023,,,,,,755.3045912067662
VariableCost,BAU,Ecuador,Arroz,,,1,2024,,,,,,756.9186722622044
VariableCost,BAU,Ecuador,Arroz,,,1,2025,,,,,,758.1921023486223
VariableCost,BAU,Ecuador,Arroz,,,1,2026,,,,,,760.0155805892435
VariableCost,BAU,Ecuador,Arroz,,,1,2027,,,,,,761.5154704481789
VariableCost,BAU,Ecuador,Arroz,,,1,2028,,,,,,762.1901315608069
VariableCost,BAU,Ecuador,Arroz,,,1,2029,,,,,,763.0580590124526
VariableCost,BAU,Ecuador,Arroz,,,1,2030,,,,,,764.539412650292
VariableCost,BAU,Ecuador,Arroz,,,1,2031,,,,,,765.3231011947564
VariableCost,BAU,Ecuador,Arroz,,,1,2032,,,,,,766.4718835023036
VariableCost,BAU,Ecuador,Arroz,,,1,2033,,,,,,767.1155223293097
VariableCost,BAU,Ecuador,Arroz,,,1,2034,,,,,,767.8050990428378
VariableCost,BAU,Ecuador,Arroz,,,1,2035,,,,,,768.7393353114662
VariableCost,BAU,Ecuador,Arroz,,,1,2036,,,,,,769.5153608401182
VariableCost,BAU,Ecuador,Arroz,,,1,2037,,,,,,770.4741002283519
VariableCost,BAU,Ecuador,Arroz,,,1,2038,,,,,,771.7880110591916
VariableCost,BAU,Ecuador,Arroz,,,1,2039,,,,,,772.9906191387861
VariableCost,BAU,Ecuador,Arroz,,,1,2040,,,,,,774.4029043345639
VariableCost,BAU,Ecuador,Arroz,,,1,2041,,,,,,775.9077625401156
VariableCost,BAU,Ecuador,Arroz,,,1,2042,,,,,,777.0910853208736
