PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapitalCost,BAU,Ecuador,area_restaurada,,,,2018,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2019,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2020,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2021,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2022,,,,,,2724.164186158654
CapitalCost,BAU,Ecuador,area_restaurada,,,,2023,,,,,,2759.578320578716
CapitalCost,BAU,Ecuador,area_restaurada,,,,2024,,,,,,2795.452838746239
CapitalCost,BAU,Ecuador,area_restaurada,,,,2025,,,,,,2831.79372564994
CapitalCost,BAU,Ecuador,area_restaurada,,,,2026,,,,,,2868.6070440833887
CapitalCost,BAU,Ecuador,area_restaurada,,,,2027,,,,,,2905.8989356564725
CapitalCost,BAU,Ecuador,area_restaurada,,,,2028,,,,,,2943.675621820006
CapitalCost,BAU,Ecuador,area_restaurada,,,,2029,,,,,,2981.943404903666
CapitalCost,BAU,Ecuador,area_restaurada,,,,2030,,,,,,3020.708669167413
CapitalCost,BAU,Ecuador,area_restaurada,,,,2031,,,,,,3059.977881866589
CapitalCost,BAU,Ecuador,area_restaurada,,,,2032,,,,,,3099.7575943308543
CapitalCost,BAU,Ecuador,area_restaurada,,,,2033,,,,,,3140.054443057155
CapitalCost,BAU,Ecuador,area_restaurada,,,,2034,,,,,,3180.8751508168975
CapitalCost,BAU,Ecuador,area_restaurada,,,,2035,,,,,,3222.226527777517
CapitalCost,BAU,Ecuador,area_restaurada,,,,2036,,,,,,3264.1154726386244
CapitalCost,BAU,Ecuador,area_restaurada,,,,2037,,,,,,3306.548973782926
CapitalCost,BAU,Ecuador,area_restaurada,,,,2038,,,,,,3349.534110442104
CapitalCost,BAU,Ecuador,area_restaurada,,,,2039,,,,,,3393.0780538778513
CapitalCost,BAU,Ecuador,area_restaurada,,,,2040,,,,,,3437.188068578263
CapitalCost,BAU,Ecuador,area_restaurada,,,,2041,,,,,,3481.87151346978
CapitalCost,BAU,Ecuador,area_restaurada,,,,2042,,,,,,3527.1358431448866
CapitalCost,BAU,Ecuador,area_restaurada,,,,2043,,,,,,3572.9886091057697
CapitalCost,BAU,Ecuador,area_restaurada,,,,2044,,,,,,3619.4374610241443
CapitalCost,BAU,Ecuador,area_restaurada,,,,2045,,,,,,3666.490148017458
CapitalCost,BAU,Ecuador,area_restaurada,,,,2046,,,,,,3714.1545199416846
CapitalCost,BAU,Ecuador,area_restaurada,,,,2047,,,,,,3762.4385287009263
CapitalCost,BAU,Ecuador,area_restaurada,,,,2048,,,,,,3811.350229574038
CapitalCost,BAU,Ecuador,area_restaurada,,,,2049,,,,,,3860.8977825585002
CapitalCost,BAU,Ecuador,area_restaurada,,,,2050,,,,,,3911.0894537317604
CapitalCost,BAU,Ecuador,area_restaurada,,,,2051,,,,,,3961.933616630273
CapitalCost,BAU,Ecuador,area_restaurada,,,,2052,,,,,,4013.438753646466
CapitalCost,BAU,Ecuador,area_restaurada,,,,2053,,,,,,4065.6134574438697
CapitalCost,BAU,Ecuador,area_restaurada,,,,2054,,,,,,4118.46643239064
CapitalCost,BAU,Ecuador,area_restaurada,,,,2055,,,,,,4172.006496011718
CapitalCost,BAU,Ecuador,area_restaurada,,,,2056,,,,,,4226.24258045987
CapitalCost,BAU,Ecuador,area_restaurada,,,,2057,,,,,,4281.183734005847
CapitalCost,BAU,Ecuador,area_restaurada,,,,2058,,,,,,4336.839122547923
CapitalCost,BAU,Ecuador,area_restaurada,,,,2059,,,,,,4393.218031141046
CapitalCost,BAU,Ecuador,area_restaurada,,,,2060,,,,,,4450.329865545878
CapitalCost,BAU,Ecuador,area_restaurada,,,,2061,,,,,,4508.184153797974
CapitalCost,BAU,Ecuador,area_restaurada,,,,2062,,,,,,4566.790547797347
CapitalCost,BAU,Ecuador,area_restaurada,,,,2063,,,,,,4626.1588249187125
CapitalCost,BAU,Ecuador,area_restaurada,,,,2064,,,,,,4686.298889642655
CapitalCost,BAU,Ecuador,area_restaurada,,,,2065,,,,,,4747.220775208009
CapitalCost,BAU,Ecuador,area_restaurada,,,,2066,,,,,,4808.9346452857135
CapitalCost,BAU,Ecuador,area_restaurada,,,,2067,,,,,,4871.450795674427
CapitalCost,BAU,Ecuador,area_restaurada,,,,2068,,,,,,4934.779656018194
CapitalCost,BAU,Ecuador,area_restaurada,,,,2069,,,,,,4998.93179154643
CapitalCost,BAU,Ecuador,area_restaurada,,,,2070,,,,,,5063.917904836533
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2018,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2019,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2020,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2021,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2022,,,,,,4215.0503314355865
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2023,,,,,,4269.8459857442485
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2024,,,,,,4325.353983558924
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2025,,,,,,4381.583585345189
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2026,,,,,,4438.544171954676
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2027,,,,,,4496.245246190087
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2028,,,,,,4554.696434390557
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2029,,,,,,4613.907488037634
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2030,,,,,,4673.888285382122
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2031,,,,,,4734.648833092089
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2032,,,,,,4796.199267922286
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2033,,,,,,4858.549858405275
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2034,,,,,,4921.711006564543
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2035,,,,,,4985.693249649881
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2036,,,,,,5050.507261895329
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2037,,,,,,5116.163856299968
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2038,,,,,,5182.673986431867
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2039,,,,,,5250.048748255481
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2040,,,,,,5318.299381982802
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2041,,,,,,5387.437273948577
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2042,,,,,,5457.473958509908
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2043,,,,,,5528.421119970536
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2044,,,,,,5600.290594530153
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2045,,,,,,5673.094372259045
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2046,,,,,,5746.844599098412
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2047,,,,,,5821.553578886691
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2048,,,,,,5897.233775412217
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2049,,,,,,5973.897814492576
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2050,,,,,,6051.558486080979
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2051,,,,,,6130.228746400031
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2052,,,,,,6209.921720103231
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2053,,,,,,6290.650702464572
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2054,,,,,,6372.42916159661
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2055,,,,,,6455.270740697366
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2056,,,,,,6539.189260326431
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2057,,,,,,6624.198720710674
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2058,,,,,,6710.313304079912
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2059,,,,,,6797.54737703295
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2060,,,,,,6885.915492934378
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2061,,,,,,6975.432394342524
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2062,,,,,,7066.113015468976
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2063,,,,,,7157.972484670072
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2064,,,,,,7251.026126970783
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2065,,,,,,7345.289466621402
CapitalCost,BAU,Ecuador,Plantacion_forestal,,,,2066,,,,,,7440.77822968748
