PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
VariableCost,BAU,Ecuador,Banano,,,1,2018,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2019,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2020,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2021,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2022,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2023,,,,,,1244.756893157175
VariableCost,BAU,Ecuador,Banano,,,1,2024,,,,,,1260.7386678554274
VariableCost,BAU,Ecuador,Banano,,,1,2025,,,,,,1272.8785349001337
VariableCost,BAU,Ecuador,Banano,,,1,2026,,,,,,1282.8667330657272
VariableCost,BAU,Ecuador,Banano,,,1,2027,,,,,,1296.528145958408
VariableCost,BAU,Ecuador,Banano,,,1,2028,,,,,,1308.147614346276
VariableCost,BAU,Ecuador,Banano,,,1,2029,,,,,,1314.398277444831
VariableCost,BAU,Ecuador,Banano,,,1,2030,,,,,,1321.9730181556947
VariableCost,BAU,Ecuador,Banano,,,1,2031,,,,,,1333.6722923758903
VariableCost,BAU,Ecuador,Banano,,,1,2032,,,,,,1340.806250195323
VariableCost,BAU,Ecuador,Banano,,,1,2033,,,,,,1350.4296614253649
VariableCost,BAU,Ecuador,Banano,,,1,2034,,,,,,1356.7380200848932
VariableCost,BAU,Ecuador,Banano,,,1,2035,,,,,,1363.403034495614
VariableCost,BAU,Ecuador,Banano,,,1,2036,,,,,,1371.767187917606
VariableCost,BAU,Ecuador,Banano,,,1,2037,,,,,,1379.1239523474546
VariableCost,BAU,Ecuador,Banano,,,1,2038,,,,,,1387.7755606059673
VariableCost,BAU,Ecuador,Banano,,,1,2039,,,,,,1398.907417841221
VariableCost,BAU,Ecuador,Banano,,,1,2040,,,,,,1409.361270095471
VariableCost,BAU,Ecuador,Banano,,,1,2041,,,,,,1421.327941619562
VariableCost,BAU,Ecuador,Banano,,,1,2042,,,,,,1434.0186001331385
VariableCost,BAU,Ecuador,Banano,,,1,2043,,,,,,1444.5885462514148
VariableCost,BAU,Ecuador,Banano,,,1,2044,,,,,,1459.4305344490185
VariableCost,BAU,Ecuador,Banano,,,1,2045,,,,,,1473.0072930396095
VariableCost,BAU,Ecuador,Banano,,,1,2046,,,,,,1490.7185842998774
VariableCost,BAU,Ecuador,Banano,,,1,2047,,,,,,1505.9753648067608
VariableCost,BAU,Ecuador,Banano,,,1,2048,,,,,,1521.3501918889742
VariableCost,BAU,Ecuador,Banano,,,1,2049,,,,,,1537.6507135883735
VariableCost,BAU,Ecuador,Banano,,,1,2050,,,,,,1554.0416989388837
VariableCost,BAU,Ecuador,Banano,,,1,2051,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2052,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2053,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2054,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2055,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2056,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2057,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2058,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2059,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2060,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2061,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2062,,,,,,1070.6998507642452
VariableCost,BAU,Ecuador,Banano,,,1,2063,,,,,,1070.6998507642452
