Run.ID,Fuel,Fuel.DESCRIPTION,Technology,Technology.DESCRIPTION,Emission,Emission.DESCRIPTION,Year,RateOfDemand,Demand,NumberOfNewTechnologyUnits,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,RateOfActivity,RateOfTotalActivity,TotalTechnologyAnnualActivity,TotalAnnualTechnologyActivityByMode,TotalTechnologyModelPeriodActivity,RateOfProductionByTechnologyByMode,RateOfProductionByTechnology,ProductionByTechnology,ProductionByTechnologyAnnual,RateOfProduction,Production,RateOfUseByTechnologyByMode,RateOfUseByTechnology,UseByTechnologyAnnual,UseByTechnology,UseAnnual,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,TotalCapacityInReserveMargin,DemandNeedingReserveMargin,TotalREProductionAnnual,RETotalProductionOfTargetFuelAnnual,AnnualTechnologyEmissionByMode,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,ModelPeriodEmissions
BAU,,,Bosque,,,,2018,,,,12.6363,12.6363,12.6363,12.6363,12.6363,12.6363,12.6363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2019,,,,12.5788,12.5788,12.5788,12.5788,12.5788,12.5788,12.5788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2020,,,,12.5214,12.5214,12.5214,12.5214,12.5214,12.5214,12.5214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2021,,,,12.4644,12.4644,12.4644,12.4644,12.4644,12.4644,12.4644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2022,,,,12.4076,12.4076,12.4076,12.4076,12.4076,12.4076,12.4076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2023,,,,12.3512,12.3512,12.3512,12.3512,12.3512,12.3512,12.3512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2024,,,,12.295,12.295,12.295,12.295,12.295,12.295,12.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2025,,,,12.239,12.239,12.239,12.239,12.239,12.239,12.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2026,,,,12.1833,12.1833,12.1833,12.1833,12.1833,12.1833,12.1833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2027,,,,12.1278,12.1278,12.1278,12.1278,12.1278,12.1278,12.1278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2028,,,,12.0726,12.0726,12.0726,12.0726,12.0726,12.0726,12.0726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2029,,,,12.0177,12.0177,12.0177,12.0177,12.0177,12.0177,12.0177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2030,,,,11.963,11.963,11.963,11.963,11.963,11.963,11.963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2031,,,,11.9086,11.9086,11.9086,11.9086,11.9086,11.9086,11.9086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2032,,,,11.8544,11.8544,11.8544,11.8544,11.8544,11.8544,11.8544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2033,,,,11.8005,11.8005,11.8005,11.8005,11.8005,11.8005,11.8005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2034,,,,11.7468,11.7468,11.7468,11.7468,11.7468,11.7468,11.7468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2035,,,,11.6933,11.6933,11.6933,11.6933,11.6933,11.6933,11.6933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2036,,,,11.6401,11.6401,11.6401,11.6401,11.6401,11.6401,11.6401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2037,,,,11.5872,11.5872,11.5872,11.5872,11.5872,11.5872,11.5872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2038,,,,11.5345,11.5345,11.5345,11.5345,11.5345,11.5345,11.5345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2039,,,,11.482,11.482,11.482,11.482,11.482,11.482,11.482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2040,,,,11.4298,11.4298,11.4298,11.4298,11.4298,11.4298,11.4298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2041,,,,11.3778,11.3778,11.3778,11.3778,11.3778,11.3778,11.3778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2042,,,,11.326,11.326,11.326,11.326,11.326,11.326,11.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2043,,,,11.2745,11.2745,11.2745,11.2745,11.2745,11.2745,11.2745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2044,,,,11.2233,11.2233,11.2233,11.2233,11.2233,11.2233,11.2233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2045,,,,11.1722,11.1722,11.1722,11.1722,11.1722,11.1722,11.1722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2046,,,,11.1214,11.1214,11.1214,11.1214,11.1214,11.1214,11.1214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2047,,,,11.0709,11.0709,11.0709,11.0709,11.0709,11.0709,11.0709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2048,,,,11.0205,11.0205,11.0205,11.0205,11.0205,11.0205,11.0205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2049,,,,10.9704,10.9704,10.9704,10.9704,10.9704,10.9704,10.9704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2050,,,,10.9205,10.9205,10.9205,10.9205,10.9205,10.9205,10.9205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2051,,,,10.8709,10.8709,10.8709,10.8709,10.8709,10.8709,10.8709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2052,,,,10.8215,10.8215,10.8215,10.8215,10.8215,10.8215,10.8215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2053,,,,10.7723,10.7723,10.7723,10.7723,10.7723,10.7723,10.7723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2054,,,,10.7233,10.7233,10.7233,10.7233,10.7233,10.7233,10.7233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2055,,,,10.6746,10.6746,10.6746,10.6746,10.6746,10.6746,10.6746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2056,,,,10.6261,10.6261,10.6261,10.6261,10.6261,10.6261,10.6261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2057,,,,10.5778,10.5778,10.5778,10.5778,10.5778,10.5778,10.5778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2058,,,,10.5297,10.5297,10.5297,10.5297,10.5297,10.5297,10.5297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2059,,,,10.4818,10.4818,10.4818,10.4818,10.4818,10.4818,10.4818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2060,,,,10.4342,10.4342,10.4342,10.4342,10.4342,10.4342,10.4342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2061,,,,10.3868,10.3868,10.3868,10.3868,10.3868,10.3868,10.3868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2062,,,,10.3396,10.3396,10.3396,10.3396,10.3396,10.3396,10.3396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2063,,,,10.2926,10.2926,10.2926,10.2926,10.2926,10.2926,10.2926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2064,,,,10.2459,10.2459,10.2459,10.2459,10.2459,10.2459,10.2459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2065,,,,10.1993,10.1993,10.1993,10.1993,10.1993,10.1993,10.1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2066,,,,10.153,10.153,10.153,10.153,10.153,10.153,10.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2067,,,,10.1069,10.1069,10.1069,10.1069,10.1069,10.1069,10.1069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2068,,,,10.061,10.061,10.061,10.061,10.061,10.061,10.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2069,,,,10.0153,10.0153,10.0153,10.0153,10.0153,10.0153,10.0153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Bosque,,,,2070,,,,9.96978,9.96978,9.96978,9.96978,9.96978,9.96978,9.96978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Tierra_agropecuaria,,,,2018,,,,8.99955,8.99955,8.99955,8.99955,8.99955,8.99955,8.99955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Tierra_agropecuaria,,,,2019,,,,9.0419,9.0419,9.0419,9.0419,9.0419,9.0419,9.0419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Tierra_agropecuaria,,,,2020,,,,9.09476,9.09476,9.09476,9.09476,9.09476,9.09476,9.09476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Tierra_agropecuaria,,,,2021,,,,9.16038,9.16038,9.16038,9.16038,9.16038,9.16038,9.16038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Tierra_agropecuaria,,,,2022,,,,9.25113,9.25113,9.25113,9.25113,9.25113,9.25113,9.25113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Tierra_agropecuaria,,,,2023,,,,9.31317,9.31317,9.31317,9.31317,9.31317,9.31317,9.31317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Tierra_agropecuaria,,,,2024,,,,9.38505,9.38505,9.38505,9.38505,9.38505,9.38505,9.38505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Tierra_agropecuaria,,,,2025,,,,9.44548,9.44548,9.44548,9.44548,9.44548,9.44548,9.44548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Tierra_agropecuaria,,,,2026,,,,9.51212,9.51212,9.51212,9.51212,9.51212,9.51212,9.51212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Tierra_agropecuaria,,,,2027,,,,9.57633,9.57633,9.57633,9.57633,9.57633,9.57633,9.57633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Tierra_agropecuaria,,,,2028,,,,9.63893,9.63893,9.63893,9.63893,9.63893,9.63893,9.63893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Tierra_agropecuaria,,,,2029,,,,9.69748,9.69748,9.69748,9.69748,9.69748,9.69748,9.69748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Tierra_agropecuaria,,,,2030,,,,9.75698,9.75698,9.75698,9.75698,9.75698,9.75698,9.75698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Tierra_agropecuaria,,,,2031,,,,9.81458,9.81458,9.81458,9.81458,9.81458,9.81458,9.81458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Tierra_agropecuaria,,,,2032,,,,9.87257,9.87257,9.87257,9.87257,9.87257,9.87257,9.87257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Tierra_agropecuaria,,,,2033,,,,9.93222,9.93222,9.93222,9.93222,9.93222,9.93222,9.93222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Tierra_agropecuaria,,,,2034,,,,9.98893,9.98893,9.98893,9.98893,9.98893,9.98893,9.98893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Tierra_agropecuaria,,,,2035,,,,10.0455,10.0455,10.0455,10.0455,10.0455,10.0455,10.0455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Tierra_agropecuaria,,,,2036,,,,10.1018,10.1018,10.1018,10.1018,10.1018,10.1018,10.1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Tierra_agropecuaria,,,,2037,,,,10.1571,10.1571,10.1571,10.1571,10.1571,10.1571,10.1571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Tierra_agropecuaria,,,,2038,,,,10.2126,10.2126,10.2126,10.2126,10.2126,10.2126,10.2126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Tierra_agropecuaria,,,,2039,,,,10.2699,10.2699,10.2699,10.2699,10.2699,10.2699,10.2699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Tierra_agropecuaria,,,,2040,,,,10.3263,10.3263,10.3263,10.3263,10.3263,10.3263,10.3263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Tierra_agropecuaria,,,,2041,,,,10.3833,10.3833,10.3833,10.3833,10.3833,10.3833,10.3833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Tierra_agropecuaria,,,,2042,,,,10.4403,10.4403,10.4403,10.4403,10.4403,10.4403,10.4403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Tierra_agropecuaria,,,,2043,,,,10.4957,10.4957,10.4957,10.4957,10.4957,10.4957,10.4957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Tierra_agropecuaria,,,,2044,,,,10.5534,10.5534,10.5534,10.5534,10.5534,10.5534,10.5534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Tierra_agropecuaria,,,,2045,,,,10.6099,10.6099,10.6099,10.6099,10.6099,10.6099,10.6099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Tierra_agropecuaria,,,,2046,,,,10.6685,10.6685,10.6685,10.6685,10.6685,10.6685,10.6685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Tierra_agropecuaria,,,,2047,,,,10.7253,10.7253,10.7253,10.7253,10.7253,10.7253,10.7253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Tierra_agropecuaria,,,,2048,,,,10.7819,10.7819,10.7819,10.7819,10.7819,10.7819,10.7819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Tierra_agropecuaria,,,,2049,,,,10.8386,10.8386,10.8386,10.8386,10.8386,10.8386,10.8386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Tierra_agropecuaria,,,,2050,,,,10.8951,10.8951,10.8951,10.8951,10.8951,10.8951,10.8951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Tierra_agropecuaria,,,,2051,,,,10.9502,10.9502,10.9502,10.9502,10.9502,10.9502,10.9502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,,,Tierra_agropecuaria,,,,2052,,,,11.0053,11.0053,11.0053,11.0053,11.0053,11.0053,11.0053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
