Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2023,FixedOpex2023,VarOpex2023,Opex2023,Externalities2023,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
DDP,221,,Bosque,,2018,,12.6363,12.6363,12.6363,12.6363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,221,,Bosque,,2019,,12.5788,12.5788,12.5788,12.5788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,221,,Bosque,,2020,,12.5214,12.5214,12.5214,12.5214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,221,,Bosque,,2021,,12.4644,12.4644,12.4644,12.4644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,221,,Bosque,,2022,,12.4076,12.4076,12.4076,12.4076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,221,,Bosque,,2023,,12.3809,12.3809,12.3809,12.3809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,221,,Bosque,,2024,,12.3909,12.3909,12.3909,12.3909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,221,,Bosque,,2025,,12.3544,12.3544,12.3544,12.3544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,221,,Bosque,,2026,,12.2772,12.2772,12.2772,12.2772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,221,,Bosque,,2027,,12.2005,12.2005,12.2005,12.2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,221,,Bosque,,2028,,12.1242,12.1242,12.1242,12.1242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,221,,Bosque,,2029,,12.0483,12.0483,12.0483,12.0483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,221,,Bosque,,2030,,11.9727,11.9727,11.9727,11.9727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,221,,Bosque,,2031,,11.8976,11.8976,11.8976,11.8976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,221,,Bosque,,2032,,11.8227,11.8227,11.8227,11.8227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,221,,Bosque,,2033,,11.7482,11.7482,11.7482,11.7482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,221,,Bosque,,2034,,11.674,11.674,11.674,11.674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,221,,Bosque,,2035,,11.6001,11.6001,11.6001,11.6001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,221,,Bosque,,2036,,11.5264,11.5264,11.5264,11.5264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,221,,Bosque,,2037,,11.453,11.453,11.453,11.453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,221,,Bosque,,2038,,11.3797,11.3797,11.3797,11.3797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,221,,Bosque,,2039,,11.3067,11.3067,11.3067,11.3067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,221,,Bosque,,2040,,11.2339,11.2339,11.2339,11.2339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,221,,Bosque,,2041,,11.1612,11.1612,11.1612,11.1612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,221,,Bosque,,2042,,11.0886,11.0886,11.0886,11.0886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,221,,Bosque,,2043,,11.0162,11.0162,11.0162,11.0162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,221,,Bosque,,2044,,10.9438,10.9438,10.9438,10.9438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,221,,Bosque,,2045,,10.8716,10.8716,10.8716,10.8716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,221,,Bosque,,2046,,10.7993,10.7993,10.7993,10.7993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,221,,Bosque,,2047,,10.7271,10.7271,10.7271,10.7271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,221,,Bosque,,2048,,10.6549,10.6549,10.6549,10.6549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,221,,Bosque,,2049,,10.5826,10.5826,10.5826,10.5826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,221,,Bosque,,2050,,10.5104,10.5104,10.5104,10.5104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,221,,Bosque,,2051,,10.4901,10.4901,10.4901,10.4901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,221,,Bosque,,2052,,10.4709,10.4709,10.4709,10.4709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,221,,Bosque,,2053,,10.4527,10.4527,10.4527,10.4527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,221,,Bosque,,2054,,10.4357,10.4357,10.4357,10.4357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,221,,Bosque,,2055,,10.4197,10.4197,10.4197,10.4197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
