Future.ID,Strategy.ID,Strategy,Fuel,Technology,Emission,Season,Year,SpecifiedAnnualDemand,CapacityFactor,OperationalLife,ResidualCapacity,InputActivityRatio,OutputActivityRatio,EmissionActivityRatio,CapitalCost,VariableCost,FixedCost,TotalAnnualMaxCapacity,TotalAnnualMinCapacity,TotalAnnualMaxCapacityInvestment,TotalAnnualMinCapacityInvestment,TotalTechnologyAnnualActivityUpperLimit,TotalTechnologyAnnualActivityLowerLimit,DistanceDriven,UnitCapitalCost (USD),UnitFixedCost (USD),BiofuelShares,FilterFuelType,FilterVehicleType
243,1,DDP,Dem_Banano,,,,2018,0.904,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2019,1.0168,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2020,1.0113,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2021,1.0053,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2022,1.142,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2023,1.315,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2024,1.3282,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2025,1.3415,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2026,1.3548,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2027,1.368,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2028,1.3813,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2029,1.3946,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2030,1.4079,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2031,1.4211,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2032,1.4344,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2033,1.4477,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2034,1.4609,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2035,1.4742,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2036,1.4875,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2037,1.5008,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2038,1.514,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2039,1.5273,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2040,1.5406,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2041,1.5539,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2042,1.5671,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2043,1.5804,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2044,1.5937,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2045,1.6069,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2046,1.6202,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2047,1.6335,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2048,1.6468,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2049,1.66,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2050,1.6733,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2051,1.6866,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2052,1.6999,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2053,1.7131,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2054,1.7264,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2055,1.7397,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2056,1.7529,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2057,1.7662,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2058,1.7795,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2059,1.7928,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2060,1.806,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2061,1.8193,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2062,1.8326,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2063,1.8458,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2064,1.8591,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2065,1.8724,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2066,1.8857,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2067,1.8989,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2068,1.9122,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2069,1.9255,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Banano,,,,2070,1.9388,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2018,1.3187,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2019,1.0709,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2020,1.2935,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2021,1.4857,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2022,1.5265,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2023,1.5698,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2024,1.6133,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2025,1.6568,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2026,1.7002,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2027,1.7437,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2028,1.7872,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2029,1.8307,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2030,1.8742,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2031,1.9176,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2032,1.9611,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2033,2.0046,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2034,2.0481,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2035,2.0916,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2036,2.135,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2037,2.1785,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2038,2.222,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2039,2.2655,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2040,2.309,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2041,2.3524,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2042,2.3959,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2043,2.4394,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2044,2.4829,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2045,2.5263,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2046,2.5698,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2047,2.6133,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2048,2.6568,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2049,2.7003,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2050,2.7437,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2051,2.7872,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2052,2.8307,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2053,2.8742,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2054,2.9177,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2055,2.9611,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2056,3.0046,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2057,3.0481,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2058,3.0916,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2059,3.135,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2060,3.1785,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2061,3.222,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2062,3.2655,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2063,3.309,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2064,3.3524,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2065,3.3959,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2066,3.4394,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2067,3.4829,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2068,3.5264,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2069,3.5698,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Arroz,,,,2070,3.6133,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Cacao,,,,2018,0.0809,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Cacao,,,,2019,0.0825,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Cacao,,,,2020,0.084,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Cacao,,,,2021,0.0874,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Cacao,,,,2022,0.0967,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Cacao,,,,2023,0.1197,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Cacao,,,,2024,0.1276,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Cacao,,,,2025,0.1356,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Cacao,,,,2026,0.1436,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Cacao,,,,2027,0.1516,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Cacao,,,,2028,0.1596,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Cacao,,,,2029,0.1676,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Cacao,,,,2030,0.1756,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Cacao,,,,2031,0.1836,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Cacao,,,,2032,0.1916,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Cacao,,,,2033,0.1996,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Cacao,,,,2034,0.2076,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Cacao,,,,2035,0.2156,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Cacao,,,,2036,0.2235,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Cacao,,,,2037,0.2315,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Cacao,,,,2038,0.2395,,,,,,,,,,,,,,,,,,,,,
243,1,DDP,Dem_Cacao,,,,2039,0.2475,,,,,,,,,,,,,,,,,,,,,
