PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,BAU,ECU,TRNMIC,,,,,,,,,,1.0
OperationalLife,BAU,ECU,TRNBUS,,,,,,,,,,1.0
OperationalLife,BAU,ECU,TRNTAX,,,,,,,,,,1.0
OperationalLife,BAU,ECU,TRNPASRAI,,,,,,,,,,1.0
OperationalLife,BAU,ECU,TRNMOT,,,,,,,,,,1.0
OperationalLife,BAU,ECU,TRNSED,,,,,,,,,,1.0
OperationalLife,BAU,ECU,TRNSUV,,,,,,,,,,1.0
OperationalLife,BAU,ECU,TRNCAM,,,,,,,,,,1.0
OperationalLife,BAU,ECU,TRNFREHEA,,,,,,,,,,1.0
OperationalLife,BAU,ECU,TRNFREMED,,,,,,,,,,1.0
OperationalLife,BAU,ECU,TRNFRELIG,,,,,,,,,,1.0
OperationalLife,BAU,ECU,TRNCATTRU,,,,,,,,,,1.0
OperationalLife,BAU,ECU,TRNFRERAI,,,,,,,,,,1.0
OperationalLife,BAU,ECU,TRNMICHYBDSL,,,,,,,,,,16.0
OperationalLife,BAU,ECU,TRNMICGSL,,,,,,,,,,16.0
OperationalLife,BAU,ECU,TRNMICHYD,,,,,,,,,,16.0
OperationalLife,BAU,ECU,TRNMICELE,,,,,,,,,,16.0
OperationalLife,BAU,ECU,TRNMICDSL,,,,,,,,,,16.0
OperationalLife,BAU,ECU,TRNMICLPG,,,,,,,,,,16.0
OperationalLife,BAU,ECU,TRNBUSHYBDSL,,,,,,,,,,16.0
OperationalLife,BAU,ECU,TRNBUSNGV,,,,,,,,,,16.0
OperationalLife,BAU,ECU,TRNBUSHYD,,,,,,,,,,16.0
OperationalLife,BAU,ECU,TRNBUSELE,,,,,,,,,,16.0
OperationalLife,BAU,ECU,TRNBUSDSL,,,,,,,,,,16.0
OperationalLife,BAU,ECU,TRNBUSLPG,,,,,,,,,,16.0
OperationalLife,BAU,ECU,TRNTAXHYBDSL,,,,,,,,,,16.0
OperationalLife,BAU,ECU,TRNTAXELE,,,,,,,,,,16.0
OperationalLife,BAU,ECU,TRNTAXDSL,,,,,,,,,,16.0
OperationalLife,BAU,ECU,TRNTAXHYBGSL,,,,,,,,,,16.0
