PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,DDP,ECU,TRNMIC,,,,,,,,,,1.0
OperationalLife,DDP,ECU,TRNBUS,,,,,,,,,,1.0
OperationalLife,DDP,ECU,TRNTAX,,,,,,,,,,1.0
OperationalLife,DDP,ECU,TRNPASRAI,,,,,,,,,,1.0
OperationalLife,DDP,ECU,TRNMOT,,,,,,,,,,1.0
OperationalLife,DDP,ECU,TRNSED,,,,,,,,,,1.0
OperationalLife,DDP,ECU,TRNSUV,,,,,,,,,,1.0
OperationalLife,DDP,ECU,TRNCAM,,,,,,,,,,1.0
OperationalLife,DDP,ECU,TRNFREHEA,,,,,,,,,,1.0
OperationalLife,DDP,ECU,TRNFREMED,,,,,,,,,,1.0
OperationalLife,DDP,ECU,TRNFRELIG,,,,,,,,,,1.0
OperationalLife,DDP,ECU,TRNCATTRU,,,,,,,,,,1.0
OperationalLife,DDP,ECU,TRNFRERAI,,,,,,,,,,1.0
OperationalLife,DDP,ECU,TRNMICHYBDSL,,,,,,,,,,16.0
OperationalLife,DDP,ECU,TRNMICGSL,,,,,,,,,,16.0
OperationalLife,DDP,ECU,TRNMICHYD,,,,,,,,,,16.0
OperationalLife,DDP,ECU,TRNMICELE,,,,,,,,,,16.0
OperationalLife,DDP,ECU,TRNMICDSL,,,,,,,,,,16.0
OperationalLife,DDP,ECU,TRNMICLPG,,,,,,,,,,16.0
OperationalLife,DDP,ECU,TRNBUSHYBDSL,,,,,,,,,,16.0
OperationalLife,DDP,ECU,TRNBUSNGV,,,,,,,,,,16.0
OperationalLife,DDP,ECU,TRNBUSHYD,,,,,,,,,,16.0
OperationalLife,DDP,ECU,TRNBUSELE,,,,,,,,,,16.0
OperationalLife,DDP,ECU,TRNBUSDSL,,,,,,,,,,16.0
