PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2018,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2019,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2020,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2021,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2022,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2023,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2024,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2025,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2026,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2027,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2028,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2029,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2030,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2031,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2032,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2033,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2034,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2035,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2036,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2037,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2038,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2039,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2040,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2041,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2042,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2043,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2044,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2045,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2046,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2047,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2048,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2049,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2050,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2051,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2052,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2053,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2054,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2055,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2056,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2057,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2058,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2059,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2060,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2061,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2062,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2063,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2064,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2065,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2066,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2067,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2068,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2069,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPUB,,,2070,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2018,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2019,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2020,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2021,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2022,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2023,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2024,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2025,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2026,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2027,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2028,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2029,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2030,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2031,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2032,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2033,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2034,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2035,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2036,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2037,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2038,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2039,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2040,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2041,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2042,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2043,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2044,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2045,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2046,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2047,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2048,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2049,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2050,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2051,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2052,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2053,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2054,All,,,,,1
SpecifiedDemandProfile,DDP,ECU,,DEMTRNPASPRI,,,2055,All,,,,,1
