PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,DDP70,ECU,TRNMIC,,,,,,,,,,1.0
OperationalLife,DDP70,ECU,TRNBUS,,,,,,,,,,1.0
OperationalLife,DDP70,ECU,TRNTAX,,,,,,,,,,1.0
OperationalLife,DDP70,ECU,TRNPASRAI,,,,,,,,,,1.0
OperationalLife,DDP70,ECU,TRNMOT,,,,,,,,,,1.0
OperationalLife,DDP70,ECU,TRNSED,,,,,,,,,,1.0
OperationalLife,DDP70,ECU,TRNSUV,,,,,,,,,,1.0
OperationalLife,DDP70,ECU,TRNCAM,,,,,,,,,,1.0
OperationalLife,DDP70,ECU,TRNFREHEA,,,,,,,,,,1.0
OperationalLife,DDP70,ECU,TRNFREMED,,,,,,,,,,1.0
OperationalLife,DDP70,ECU,TRNFRELIG,,,,,,,,,,1.0
OperationalLife,DDP70,ECU,TRNCATTRU,,,,,,,,,,1.0
OperationalLife,DDP70,ECU,TRNFRERAI,,,,,,,,,,1.0
OperationalLife,DDP70,ECU,TRNMICHYBDSL,,,,,,,,,,16.0
OperationalLife,DDP70,ECU,TRNMICGSL,,,,,,,,,,16.0
OperationalLife,DDP70,ECU,TRNMICHYD,,,,,,,,,,16.0
OperationalLife,DDP70,ECU,TRNMICELE,,,,,,,,,,16.0
OperationalLife,DDP70,ECU,TRNMICDSL,,,,,,,,,,16.0
OperationalLife,DDP70,ECU,TRNMICLPG,,,,,,,,,,16.0
OperationalLife,DDP70,ECU,TRNBUSHYBDSL,,,,,,,,,,16.0
OperationalLife,DDP70,ECU,TRNBUSNGV,,,,,,,,,,16.0
OperationalLife,DDP70,ECU,TRNBUSHYD,,,,,,,,,,16.0
OperationalLife,DDP70,ECU,TRNBUSELE,,,,,,,,,,16.0
OperationalLife,DDP70,ECU,TRNBUSDSL,,,,,,,,,,16.0
OperationalLife,DDP70,ECU,TRNBUSLPG,,,,,,,,,,16.0
