PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2018,,,,,,0.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2019,,,,,,0.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2020,,,,,,0.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2021,,,,,,0.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2022,,,,,,0.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2023,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2024,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2025,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2026,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2027,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2028,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2029,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2030,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2031,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2032,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2033,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2034,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2035,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2036,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2037,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2038,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2039,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2040,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2041,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2042,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2043,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2044,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2045,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2046,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2047,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2048,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2049,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2050,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2051,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2052,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2053,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2054,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2055,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2056,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2057,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2058,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2059,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2060,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2061,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2062,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2063,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2064,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2065,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2066,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2067,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2068,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2069,,,,,,99999.0
TotalAnnualMaxCapacityInvestment,DDP70,ECU,PP_HYDAMADAMLAR,,,,2070,,,,,,99999.0
