PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMinCapacity,DDP70,ECU,EXTRATECH,,,,2018,,,,,,1.0
TotalAnnualMinCapacity,DDP70,ECU,EXTRATECH,,,,2019,,,,,,1.0
TotalAnnualMinCapacity,DDP70,ECU,EXTRATECH,,,,2020,,,,,,1.0
TotalAnnualMinCapacity,DDP70,ECU,EXTRATECH,,,,2021,,,,,,1.0
TotalAnnualMinCapacity,DDP70,ECU,EXTRATECH,,,,2022,,,,,,1.0
TotalAnnualMinCapacity,DDP70,ECU,EXTRATECH,,,,2023,,,,,,1.0
TotalAnnualMinCapacity,DDP70,ECU,EXTRATECH,,,,2024,,,,,,1.0
TotalAnnualMinCapacity,DDP70,ECU,EXTRATECH,,,,2025,,,,,,1.0
TotalAnnualMinCapacity,DDP70,ECU,EXTRATECH,,,,2026,,,,,,1.0
TotalAnnualMinCapacity,DDP70,ECU,EXTRATECH,,,,2027,,,,,,1.0
TotalAnnualMinCapacity,DDP70,ECU,EXTRATECH,,,,2028,,,,,,1.0
TotalAnnualMinCapacity,DDP70,ECU,EXTRATECH,,,,2029,,,,,,1.0
TotalAnnualMinCapacity,DDP70,ECU,EXTRATECH,,,,2030,,,,,,1.0
TotalAnnualMinCapacity,DDP70,ECU,EXTRATECH,,,,2031,,,,,,1.0
TotalAnnualMinCapacity,DDP70,ECU,EXTRATECH,,,,2032,,,,,,1.0
TotalAnnualMinCapacity,DDP70,ECU,EXTRATECH,,,,2033,,,,,,1.0
TotalAnnualMinCapacity,DDP70,ECU,EXTRATECH,,,,2034,,,,,,1.0
TotalAnnualMinCapacity,DDP70,ECU,EXTRATECH,,,,2035,,,,,,1.0
TotalAnnualMinCapacity,DDP70,ECU,EXTRATECH,,,,2036,,,,,,1.0
TotalAnnualMinCapacity,DDP70,ECU,EXTRATECH,,,,2037,,,,,,1.0
TotalAnnualMinCapacity,DDP70,ECU,EXTRATECH,,,,2038,,,,,,1.0
TotalAnnualMinCapacity,DDP70,ECU,EXTRATECH,,,,2039,,,,,,1.0
TotalAnnualMinCapacity,DDP70,ECU,EXTRATECH,,,,2040,,,,,,1.0
TotalAnnualMinCapacity,DDP70,ECU,EXTRATECH,,,,2041,,,,,,1.0
