PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2018,,,,,,115.6696
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2019,,,,,,115.7274
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2020,,,,,,106.715
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2021,,,,,,115.0256
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2022,,,,,,116.5643
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2023,,,,,,118.0973
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2024,,,,,,119.6205
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2025,,,,,,121.1294
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2026,,,,,,122.6224
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2027,,,,,,124.0988
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2028,,,,,,125.5577
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2029,,,,,,126.9987
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2030,,,,,,128.4204
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2031,,,,,,129.8219
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2032,,,,,,131.2021
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2033,,,,,,132.5602
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2034,,,,,,133.8954
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2035,,,,,,135.2067
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2036,,,,,,136.4936
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2037,,,,,,137.7551
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2038,,,,,,138.9906
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2039,,,,,,140.1994
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2040,,,,,,141.3809
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2041,,,,,,142.5348
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2042,,,,,,143.661
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2043,,,,,,144.7586
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2044,,,,,,145.8274
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2045,,,,,,146.867
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2046,,,,,,147.8768
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2047,,,,,,148.8573
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2048,,,,,,149.8075
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2049,,,,,,150.7277
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2050,,,,,,151.6182
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2051,,,,,,152.4819
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2052,,,,,,153.3113
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2053,,,,,,154.1091
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2054,,,,,,154.875
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2055,,,,,,155.6084
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2056,,,,,,156.3087
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2057,,,,,,156.9756
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2058,,,,,,157.6085
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2059,,,,,,158.207
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2060,,,,,,158.7706
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2061,,,,,,159.2933
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2062,,,,,,159.7805
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2063,,,,,,160.2316
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2064,,,,,,160.6464
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2065,,,,,,161.0246
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2066,,,,,,161.366
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2067,,,,,,161.6702
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2068,,,,,,161.937
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2069,,,,,,162.1664
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPUB,,,2070,,,,,,162.358
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2018,,,,,,37.1185
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2019,,,,,,37.1371
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2020,,,,,,34.245
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2021,,,,,,36.9119
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2022,,,,,,37.4056
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2023,,,,,,37.8976
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2024,,,,,,38.3764
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2025,,,,,,38.8506
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2026,,,,,,39.3193
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2027,,,,,,39.7824
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2028,,,,,,40.2396
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2029,,,,,,40.6909
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2030,,,,,,41.1358
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2031,,,,,,41.5739
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2032,,,,,,42.0052
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2033,,,,,,42.4289
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2034,,,,,,42.8451
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2035,,,,,,43.2536
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2036,,,,,,43.6541
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2037,,,,,,44.0461
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2038,,,,,,44.4296
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2039,,,,,,44.8045
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2040,,,,,,45.1702
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2041,,,,,,45.5272
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2042,,,,,,45.8749
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2043,,,,,,46.2135
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2044,,,,,,46.5428
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2045,,,,,,46.8622
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2046,,,,,,47.1723
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2047,,,,,,47.4728
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2048,,,,,,47.7633
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2049,,,,,,48.0442
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2050,,,,,,48.3156
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2051,,,,,,48.5782
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2052,,,,,,48.8297
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2053,,,,,,49.0711
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2054,,,,,,49.3022
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2055,,,,,,49.5227
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2056,,,,,,49.7328
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2057,,,,,,49.932
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2058,,,,,,50.1202
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2059,,,,,,50.2974
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2060,,,,,,50.4637
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2061,,,,,,50.6298
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2062,,,,,,50.7845
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2063,,,,,,50.9279
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2064,,,,,,51.0598
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2065,,,,,,51.18
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2066,,,,,,51.2884
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2067,,,,,,51.3851
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2068,,,,,,51.47
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2069,,,,,,51.5429
SpecifiedAnnualDemand,PA,ECU,,DEMTRNPASPRI,,,2070,,,,,,51.6038
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2018,,,,,,58.9613
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2019,,,,,,58.9613
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2020,,,,,,50.3043
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2021,,,,,,57.6902
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2022,,,,,,57.6902
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2023,,,,,,62.0961
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2024,,,,,,61.3941
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2025,,,,,,65.6127
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2026,,,,,,64.7737
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2027,,,,,,69.2373
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2028,,,,,,68.9962
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2029,,,,,,72.7394
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2030,,,,,,72.4125
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2031,,,,,,76.708
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2032,,,,,,76.741
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2033,,,,,,80.7246
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2034,,,,,,80.9996
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2035,,,,,,84.4483
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2036,,,,,,85.1868
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2037,,,,,,88.4497
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2038,,,,,,89.3005
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2039,,,,,,92.7024
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2040,,,,,,93.7569
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2041,,,,,,96.8854
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2042,,,,,,98.1432
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2043,,,,,,100.7024
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2044,,,,,,102.143
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2045,,,,,,104.7594
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2046,,,,,,106.5021
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2047,,,,,,109.0761
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2048,,,,,,110.4793
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2049,,,,,,113.0139
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2050,,,,,,114.5891
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2051,,,,,,116.8239
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2052,,,,,,119.1856
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2053,,,,,,121.4525
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2054,,,,,,123.8292
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2055,,,,,,126.1792
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2056,,,,,,128.6274
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2057,,,,,,131.0504
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2058,,,,,,133.5453
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2059,,,,,,136.0254
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2060,,,,,,138.6222
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2061,,,,,,141.2199
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2062,,,,,,143.928
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2063,,,,,,146.6841
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2064,,,,,,149.4787
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2065,,,,,,152.327
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2066,,,,,,155.2224
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2067,,,,,,158.1733
SpecifiedAnnualDemand,PA,ECU,,DEMTRNFREHEA,,,2068,,,,,,161.1747
