Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,ProductionByTechnology,UseByTechnology,CapitalInvestment,OperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2023,FixedOpex2023,VarOpex2023,Opex2023,Externalities2023,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
BAU,668,E5_AGRPURGSL,,,2018,4.7631,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,668,E5_AGRPURGSL,,,2019,5.214,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,668,E5_AGRPURGSL,,,2020,4.8432,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,668,E5_AGRPURGSL,,,2021,5.4102,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,668,E5_AGRPURGSL,,,2022,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,668,E5_AGRPURGSL,,,2023,5.76,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,668,E5_AGRPURGSL,,,2024,5.94,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,668,E5_AGRPURGSL,,,2025,6.0663,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,668,E5_AGRPURGSL,,,2026,6.1721,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,668,E5_AGRPURGSL,,,2027,6.317,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,668,E5_AGRPURGSL,,,2028,6.4315,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,668,E5_AGRPURGSL,,,2029,6.5059,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,668,E5_AGRPURGSL,,,2030,6.5799,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,668,E5_AGRPURGSL,,,2031,6.7027,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,668,E5_AGRPURGSL,,,2032,6.7757,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,668,E5_AGRPURGSL,,,2033,6.8777,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,668,E5_AGRPURGSL,,,2034,6.9401,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,668,E5_AGRPURGSL,,,2035,7.0119,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,668,E5_AGRPURGSL,,,2036,7.1027,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,668,E5_AGRPURGSL,,,2037,7.1834,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,668,E5_AGRPURGSL,,,2038,7.2732,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,668,E5_AGRPURGSL,,,2039,7.3916,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,668,E5_AGRPURGSL,,,2040,7.4997,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,668,E5_AGRPURGSL,,,2041,7.6264,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,668,E5_AGRPURGSL,,,2042,7.7525,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,668,E5_AGRPURGSL,,,2043,7.8683,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,668,E5_AGRPURGSL,,,2044,8.0217,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,668,E5_AGRPURGSL,,,2045,8.1647,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,668,E5_AGRPURGSL,,,2046,8.345,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,668,E5_AGRPURGSL,,,2047,8.5054,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,668,E5_AGRPURGSL,,,2048,8.665,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,668,E5_AGRPURGSL,,,2049,8.8425,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,668,E5_AGRPURGSL,,,2050,9.0097,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,668,E5_AGRPURGSL,,,2051,9.1792,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,668,E5_AGRPURGSL,,,2052,9.3581,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,668,E5_AGRPURGSL,,,2053,9.5369,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,668,E5_AGRPURGSL,,,2054,9.7252,,,,,,,,,,,,,,,,,,,,,,,,,,,
