Future.ID,Strategy.ID,Strategy,Fuel,Technology,Emission,Season,Year,SpecifiedAnnualDemand,CapacityFactor,OperationalLife,ResidualCapacity,InputActivityRatio,OutputActivityRatio,EmissionActivityRatio,CapitalCost,VariableCost,FixedCost,TotalAnnualMaxCapacity,TotalAnnualMinCapacity,TotalAnnualMaxCapacityInvestment,TotalAnnualMinCapacityInvestment,TotalTechnologyAnnualActivityUpperLimit,TotalTechnologyAnnualActivityLowerLimit,DistanceDriven,UnitCapitalCost (USD),UnitFixedCost (USD),BiofuelShares,FilterFuelType,FilterVehicleType
751,0,BAU,DEMTRNPASPUB,,,,2018,115.6696,,,,,,,,,,,,,,,,,,,,,
751,0,BAU,DEMTRNPASPUB,,,,2019,115.7274,,,,,,,,,,,,,,,,,,,,,
751,0,BAU,DEMTRNPASPUB,,,,2020,106.715,,,,,,,,,,,,,,,,,,,,,
751,0,BAU,DEMTRNPASPUB,,,,2021,115.0256,,,,,,,,,,,,,,,,,,,,,
751,0,BAU,DEMTRNPASPUB,,,,2022,116.5643,,,,,,,,,,,,,,,,,,,,,
751,0,BAU,DEMTRNPASPUB,,,,2023,118.0973,,,,,,,,,,,,,,,,,,,,,
751,0,BAU,DEMTRNPASPUB,,,,2024,119.6162,,,,,,,,,,,,,,,,,,,,,
751,0,BAU,DEMTRNPASPUB,,,,2025,121.9391,,,,,,,,,,,,,,,,,,,,,
751,0,BAU,DEMTRNPASPUB,,,,2026,124.2659,,,,,,,,,,,,,,,,,,,,,
751,0,BAU,DEMTRNPASPUB,,,,2027,126.5959,,,,,,,,,,,,,,,,,,,,,
751,0,BAU,DEMTRNPASPUB,,,,2028,128.9278,,,,,,,,,,,,,,,,,,,,,
751,0,BAU,DEMTRNPASPUB,,,,2029,131.2608,,,,,,,,,,,,,,,,,,,,,
751,0,BAU,DEMTRNPASPUB,,,,2030,133.5929,,,,,,,,,,,,,,,,,,,,,
751,0,BAU,DEMTRNPASPUB,,,,2031,135.9231,,,,,,,,,,,,,,,,,,,,,
751,0,BAU,DEMTRNPASPUB,,,,2032,138.2496,,,,,,,,,,,,,,,,,,,,,
751,0,BAU,DEMTRNPASPUB,,,,2033,140.5711,,,,,,,,,,,,,,,,,,,,,
751,0,BAU,DEMTRNPASPUB,,,,2034,142.8865,,,,,,,,,,,,,,,,,,,,,
751,0,BAU,DEMTRNPASPUB,,,,2035,145.1941,,,,,,,,,,,,,,,,,,,,,
751,0,BAU,DEMTRNPASPUB,,,,2036,147.493,,,,,,,,,,,,,,,,,,,,,
751,0,BAU,DEMTRNPASPUB,,,,2037,149.7814,,,,,,,,,,,,,,,,,,,,,
751,0,BAU,DEMTRNPASPUB,,,,2038,152.0584,,,,,,,,,,,,,,,,,,,,,
