Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,ProductionByTechnology,UseByTechnology,CapitalInvestment,OperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2023,FixedOpex2023,VarOpex2023,Opex2023,Externalities2023,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
DDP,536,E5_AGRELE,,,2023,0.0407,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2024,0.0818,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2025,0.1266,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2026,0.1869,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2027,0.251,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2028,0.3166,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2029,0.3818,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2030,0.449,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2031,0.5354,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2032,0.6201,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2033,0.7091,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2034,0.7963,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2035,0.8859,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2036,0.9668,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2037,1.0481,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2038,1.1323,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2039,1.2234,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2040,1.3154,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2041,1.3935,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2042,1.4735,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2043,1.5538,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2044,1.6424,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2045,1.7332,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2046,1.8162,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2047,1.8972,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2048,1.9802,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2049,2.069,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2050,2.1577,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2051,2.2916,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2052,2.4292,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2053,2.5719,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2054,2.7202,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2055,2.8763,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2056,3.0369,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2057,3.2032,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2058,3.3717,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2059,3.5515,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2060,3.7327,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2061,3.9238,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2062,4.1166,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2063,4.3195,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2064,4.5239,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2065,4.7359,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2066,4.9525,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2067,5.1796,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2068,5.4087,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2069,5.6488,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRELE,,,2070,5.8974,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2018,4.7631,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2019,5.214,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2020,4.8432,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2021,5.4102,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2022,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2023,5.7214,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2024,5.861,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2025,5.9026,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2026,5.9135,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2027,5.9587,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2028,5.9719,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2029,5.9456,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2030,5.9174,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2031,5.918,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2032,5.8722,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2033,5.8496,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2034,5.7913,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2035,5.7396,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2036,5.7147,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2037,5.6799,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2038,5.6507,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2039,5.6413,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2040,5.6217,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2041,5.6269,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2042,5.6292,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2043,5.6216,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2044,5.6383,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2045,5.6448,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2046,5.6878,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2047,5.7141,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2048,5.7371,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2049,5.769,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2050,5.7911,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2051,5.8375,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2052,5.8875,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2053,5.935,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2054,5.9859,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2055,6.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2056,6.097,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2057,6.1512,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2058,6.2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2059,6.2621,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2060,6.3131,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2061,6.3719,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2062,6.4221,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2063,6.4798,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2064,6.5289,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2065,6.5799,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2066,6.6276,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2067,6.6769,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,536,E5_AGRPURGSL,,,2068,6.7227,,,,,,,,,,,,,,,,,,,,,,,,,,,
