PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2018,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2019,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2020,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2021,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2022,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2023,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2024,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2025,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2026,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2027,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2028,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2029,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2030,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2031,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2032,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2033,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2034,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2035,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2036,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2037,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2038,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2039,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2040,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2041,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2042,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2043,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2044,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2045,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2046,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2047,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2048,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2049,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2050,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2051,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2052,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2053,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2054,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2055,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2056,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2057,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2058,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2059,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2060,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2061,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2062,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2063,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2064,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2065,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2066,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2067,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2068,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2069,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,ENE_TERM,,,,2070,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2018,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2019,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2020,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2021,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2022,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2023,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2024,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2025,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2026,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2027,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2028,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2029,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2030,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2031,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2032,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2033,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2034,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2035,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2036,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2037,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2038,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2039,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2040,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2041,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2042,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2043,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2044,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2045,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2046,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2047,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2048,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2049,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2050,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2051,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2052,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2053,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2054,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2055,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2056,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2057,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2058,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2059,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2060,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2061,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2062,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2063,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2064,,,,,,
TotalTechnologyAnnualActivityUpperLimit,BAU,ECU,RAW_MAT_CLK,,,,2065,,,,,,
