PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,ENE_TERM,,,,2018,,,,,,
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,ENE_TERM,,,,2019,,,,,,
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,ENE_TERM,,,,2020,,,,,,
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,ENE_TERM,,,,2021,,,,,,
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,ENE_TERM,,,,2022,,,,,,
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,ENE_TERM,,,,2023,,,,,,
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,ENE_TERM,,,,2024,,,,,,
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,ENE_TERM,,,,2025,,,,,,
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,ENE_TERM,,,,2026,,,,,,
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,ENE_TERM,,,,2027,,,,,,
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,ENE_TERM,,,,2028,,,,,,
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,ENE_TERM,,,,2029,,,,,,
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,ENE_TERM,,,,2030,,,,,,
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,ENE_TERM,,,,2031,,,,,,
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,ENE_TERM,,,,2032,,,,,,
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,ENE_TERM,,,,2033,,,,,,
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,ENE_TERM,,,,2034,,,,,,
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,ENE_TERM,,,,2035,,,,,,
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,ENE_TERM,,,,2036,,,,,,
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,ENE_TERM,,,,2037,,,,,,
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,ENE_TERM,,,,2038,,,,,,
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,ENE_TERM,,,,2039,,,,,,
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,ENE_TERM,,,,2040,,,,,,
