PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
Yearsplit,PA,,,,,,2018,All,,,,,1
Yearsplit,PA,,,,,,2019,All,,,,,1
Yearsplit,PA,,,,,,2020,All,,,,,1
Yearsplit,PA,,,,,,2021,All,,,,,1
Yearsplit,PA,,,,,,2022,All,,,,,1
Yearsplit,PA,,,,,,2023,All,,,,,1
Yearsplit,PA,,,,,,2024,All,,,,,1
Yearsplit,PA,,,,,,2025,All,,,,,1
Yearsplit,PA,,,,,,2026,All,,,,,1
Yearsplit,PA,,,,,,2027,All,,,,,1
Yearsplit,PA,,,,,,2028,All,,,,,1
Yearsplit,PA,,,,,,2029,All,,,,,1
Yearsplit,PA,,,,,,2030,All,,,,,1
Yearsplit,PA,,,,,,2031,All,,,,,1
Yearsplit,PA,,,,,,2032,All,,,,,1
Yearsplit,PA,,,,,,2033,All,,,,,1
Yearsplit,PA,,,,,,2034,All,,,,,1
Yearsplit,PA,,,,,,2035,All,,,,,1
Yearsplit,PA,,,,,,2036,All,,,,,1
Yearsplit,PA,,,,,,2037,All,,,,,1
Yearsplit,PA,,,,,,2038,All,,,,,1
Yearsplit,PA,,,,,,2039,All,,,,,1
Yearsplit,PA,,,,,,2040,All,,,,,1
Yearsplit,PA,,,,,,2041,All,,,,,1
Yearsplit,PA,,,,,,2042,All,,,,,1
Yearsplit,PA,,,,,,2043,All,,,,,1
Yearsplit,PA,,,,,,2044,All,,,,,1
Yearsplit,PA,,,,,,2045,All,,,,,1
Yearsplit,PA,,,,,,2046,All,,,,,1
Yearsplit,PA,,,,,,2047,All,,,,,1
Yearsplit,PA,,,,,,2048,All,,,,,1
Yearsplit,PA,,,,,,2049,All,,,,,1
Yearsplit,PA,,,,,,2050,All,,,,,1
Yearsplit,PA,,,,,,2051,All,,,,,1
Yearsplit,PA,,,,,,2052,All,,,,,1
Yearsplit,PA,,,,,,2053,All,,,,,1
Yearsplit,PA,,,,,,2054,All,,,,,1
Yearsplit,PA,,,,,,2055,All,,,,,1
Yearsplit,PA,,,,,,2056,All,,,,,1
Yearsplit,PA,,,,,,2057,All,,,,,1
Yearsplit,PA,,,,,,2058,All,,,,,1
Yearsplit,PA,,,,,,2059,All,,,,,1
Yearsplit,PA,,,,,,2060,All,,,,,1
Yearsplit,PA,,,,,,2061,All,,,,,1
Yearsplit,PA,,,,,,2062,All,,,,,1
Yearsplit,PA,,,,,,2063,All,,,,,1
Yearsplit,PA,,,,,,2064,All,,,,,1
Yearsplit,PA,,,,,,2065,All,,,,,1
Yearsplit,PA,,,,,,2066,All,,,,,1
Yearsplit,PA,,,,,,2067,All,,,,,1
Yearsplit,PA,,,,,,2068,All,,,,,1
Yearsplit,PA,,,,,,2069,All,,,,,1
Yearsplit,PA,,,,,,2070,All,,,,,1
